название;тип_лофт;телефон;сайт;ссылка
"Arendalofta_nnЛофт ""Стеклянный Дом""";Банкетный зал, зал, конференц-зал, на открытом воздухе;8 929 055 18 05;N/A;https://www.loft2rent.ru/loft/76195/161570/
Arendalofta_nnПогружение Loft;Лофт;+79290551805;N/A;https://www.loft2rent.ru/loft/76195/76220/
ARMALOFT;Лофт, бар, конференц-зал, фотостудия;89250545290;https://www.loft2rent.ru/loft/122172/;https://www.loft2rent.ru/loft/122172/123255/
Art Loft;Лофт, игровой зал;89854469081;N/A;https://www.loft2rent.ru/loft/89066/89068/
Art9.2Blue sky;Спорт-зал;89911772529;N/A;https://www.loft2rent.ru/loft/132452/132931/
Art9.2Color;Коворкинг, зал;89911772529;N/A;https://www.loft2rent.ru/loft/132452/132562/
Art9.2scene;Зал;89911772529;N/A;https://www.loft2rent.ru/loft/132452/132924/
Art9.2Soul;Коворкинг, лофт;89911772529;N/A;https://www.loft2rent.ru/loft/132452/132932/
Art9.2Twin;Фотостудия;89911772529;N/A;https://www.loft2rent.ru/loft/132452/132920/
Art9.2Зал 2 Classic 75m;Коворкинг, лофт, конференц-зал, учебный зал;+79911772529;N/A;https://www.loft2rent.ru/loft/132452/133739/
Art9.2Зал 3  Neoni;Лофт, зал;+79911772529;N/A;https://www.loft2rent.ru/loft/132452/133745/
Art9.2Зал 4 Black 75м;Лофт, спорт-зал, учебный зал;+79911772529;N/A;https://www.loft2rent.ru/loft/132452/133750/
Art9.2Зал 5 Loft 80м;Коворкинг, лофт;+79911772529;N/A;https://www.loft2rent.ru/loft/132452/133766/
"Articon MegapolisЛофт ""Мегаполис Холл""";Лофт, конференц-зал, учебный зал;89685819272;N/A;https://www.loft2rent.ru/loft/105749/105758/
"Articon MegapolisУчебный класс ""Артикон""";Учебный зал;89685819272;N/A;https://www.loft2rent.ru/loft/105749/137170/
ArtLoft Брусницын;Лофт, зал, конференц-зал;‪+7 (993) 640‑68‑42‬;https://www.loft2rent.ru/loft/84117/;https://www.loft2rent.ru/loft/84117/97055/
ARTLOFT на Красного Текстильщика;Банкетный зал, лофт, конференц-зал;+79936406842;https://www.loft2rent.ru/loft/84117/;https://www.loft2rent.ru/loft/84117/172257/
ArtLoft Севкабель;Лофт, зал, фотостудия;+7 (993) 640-68-42;https://www.loft2rent.ru/loft/84117/;https://www.loft2rent.ru/loft/84117/84119/
ArtMaisonГалерея;Галерея;+7 (977) 474-08-33;N/A;https://www.loft2rent.ru/loft/10542/38811/
Artmona LoftArtMona Conference and Study Hall;Лофт, зал, конференц-зал, учебный зал;+79777174500;N/A;https://www.loft2rent.ru/loft/79154/92515/
Artmona LoftArtmona Loft CASTLE;Зал, игровой зал, конференц-зал, антикафе;+79777174500;N/A;https://www.loft2rent.ru/loft/79154/79159/
Artmona LoftArtmona Oriental;Коворкинг, учебный зал, антикафе;+79777174500;N/A;https://www.loft2rent.ru/loft/79154/88954/
Artmona LoftArtmona Studio;Лофт, галерея, учебный зал;+79777174500;N/A;https://www.loft2rent.ru/loft/79154/88945/
"ARTАрт-пространство ""ART""";Бар;+79869465206;N/A;https://www.loft2rent.ru/loft/172192/172195/
Arus party LoftArus Kino Loft / Арус Кино Лофт;Бар, ночной клуб;+7 9191042113;N/A;https://www.loft2rent.ru/loft/22657/115188/
ASnova Hall;Зал, концертный зал;+7(963)6448104;N/A;https://www.loft2rent.ru/loft/209971/210016/
Astik Loft;Банкетный зал, зал, детский центр;+79776409250;N/A;https://www.loft2rent.ru/loft/196388/196390/
ATELIE;Банкетный зал, лофт;+7 (495) 032-36-35;https://www.loft2rent.ru/loft/1926/;https://www.loft2rent.ru/loft/1926/189533/
ATLAtlantic;Лофт;89939187561;N/A;https://www.loft2rent.ru/loft/95559/143599/
ATMOS - Лофт с караоке, верандой и грилем;Лофт с караоке, верандой и грилем  - Лофт, бар, веранда;+7 951 191-58-38;https://www.loft2rent.ru/loft/5546/;https://www.loft2rent.ru/loft/5546/26843/
Atmosferno_studioЗал Minimal;Зал, фотостудия;+79771211238;N/A;https://www.loft2rent.ru/loft/99628/119378/
auratower апартаменты москва сити 33 floor oko tower;Апартаменты;+79021444676;https://skyrent24.ru;https://www.loft2rent.ru/loft/19512/19514/
auratower апартаменты москва сити Premium sky apartments;Апартаменты;+7 (902) 144-46-76;https://www.loft2rent.ru/loft/19512/;https://www.loft2rent.ru/loft/19512/13875/
auratower апартаменты москва сити Апартаменты Москва Сити 42 этаж Sky Apex;Апартаменты, отель;+79021444676;https://www.loft2rent.ru/loft/19512/;https://www.loft2rent.ru/loft/19512/177988/
auratower Апартаменты Москва Сити с панорамной ванной 47 этаж;Апартаменты;89021444676;https://www.loft2rent.ru/loft/19512/;https://www.loft2rent.ru/loft/19512/177995/
auratowerru Mars apartment Moscow City;Апартаменты;+79021444676;https://skyrent24.ru;https://www.loft2rent.ru/loft/19512/33137/
Av lounge fmLounge fm;Лофт, бар, кальянная;+79175744700;N/A;https://www.loft2rent.ru/loft/192825/192827/
AVIATOR — Неоновый лофт с зоной барбекю, 5 минут от Бауманской;Лофт, ночной клуб, веранда;+7 958 578 23 62;https://twitter.com/AviatorLoft;https://www.loft2rent.ru/loft/3593/26836/
Azur Loft / Азур Лофт;Лофт, зал;+7 (993) 958-73-96;https://www.loft2rent.ru/loft/182119/;https://www.loft2rent.ru/loft/182119/182121/
AРМА КОВОРКИНГБольшая переговорная в ARMA COWORKING;Переговорная;+7 (495) 755-42-24;N/A;https://www.loft2rent.ru/loft/191350/191352/
BackgroundЗАЛ КОНФЕРЕНЦ;Лофт, зал, конференц-зал;+7 (499) 455-45-04;N/A;https://www.loft2rent.ru/loft/42217/42376/
BackgroundЗал Кухня;Кулинарная студия;+7 (499) 455-45-04;N/A;https://www.loft2rent.ru/loft/42217/205466/
BackgroundЧерный съемочный павильон;Концертный зал;+7 (499) 455-45-04;N/A;https://www.loft2rent.ru/loft/42217/205473/
BackstageBackstage  / Бэкстейдж;Ресторан;89253980686;N/A;https://www.loft2rent.ru/loft/210956/210961/
BACKYARD;Лофт, зал, конференц-зал;+7 495 120-19-05;https://www.loft2rent.ru/loft/5338/;https://www.loft2rent.ru/loft/5338/5658/
Bad Girl (пилон-loft) на Бауманской с караоке и PS 4 !;Лофт, ночной клуб, клуб;+7 (499) 302-53-72;https://www.loft2rent.ru/loft/66644/;https://www.loft2rent.ru/loft/66644/97357/
Balandin Bar;Ресторан, бар, зал, клуб;+89856409376;N/A;https://www.loft2rent.ru/loft/104955/104960/
Ballesta SpaceЗал «Красный шатёр» в Ballesta Space;Зал;+79262488448;N/A;https://www.loft2rent.ru/loft/186577/186647/
BANKSY HALL;Лофт, зал, конференц-зал, концертный зал;+7 (495) 120-19-05;https://www.loft2rent.ru/loft/5338/;https://www.loft2rent.ru/loft/5338/29279/
Bar Fly;Лофт, бар, зал;+7 916 440 01 30;https://www.loft2rent.ru/loft/101001/;https://www.loft2rent.ru/loft/101001/166510/
BARCELONA INKBARCELONA;Лофт, зал, галерея;89999875886;N/A;https://www.loft2rent.ru/loft/199928/199932/
Barkas - двухуровневый лофт с верандой;двухуровневый лофт с верандой - Лофт, веранда, антикафе;+79779161315;https://www.loft2rent.ru/loft/81832/;https://www.loft2rent.ru/loft/81832/81834/
Barri;;89775693959;https://www.loft2rent.ru/loft/198721/;https://www.loft2rent.ru/loft/198721/198724/
BAUHAUS;Лофт, фотостудия;+79219254594;https://www.loft2rent.ru/loft/79646/;https://www.loft2rent.ru/loft/79646/177878/
BAUMAN SPACEALFA — лофт со сценой и большими панорамными окнами, 2 минуты от метро / Альфа;Лофт, бар, ночной клуб;+7 958 578 23 62;N/A;https://www.loft2rent.ru/loft/14642/126987/
BAUMAN SPACEARBAT - лофт на Арбате в 3 минутах от метро / Арбат;Лофт, бар, ночной клуб, кальянная;+7 958 578 23 62;N/A;https://www.loft2rent.ru/loft/64193/64195/
BAUMAN SPACEBETA - Двухуровневый Лофт с панормаными окнами, 2 мин. от метро / Бета;Лофт, игровой зал, конференц-зал, концертный зал;+7 958 578 23 62;N/A;https://www.loft2rent.ru/loft/14642/41101/
BAUMAN SPACEEUPHORIA — Стильный лофт на Таганской, 3 мин. от метро  / Эйфория;Банкетный зал, лофт, ночной клуб, кальянная;+7 958 578 23 62;N/A;https://www.loft2rent.ru/loft/41462/41471/
BAUMAN SPACEHideOUT — просторный лофт с личной верандой и грилем / Хайдаут;Лофт, зал, веранда;+7 958 578 23 62;N/A;https://www.loft2rent.ru/loft/89228/89237/
BAUMAN SPACEPHOENIX — Стильный лофт на Арбате, 3 минуты от метро  / Феникс;Банкетный зал, лофт, ночной клуб;+7 958 578 23 62;N/A;https://www.loft2rent.ru/loft/95559/74332/
BAUMAN SPACERockWood - кирпичный лофт, веранда, гриль, в ЦАО, 5 минут от метро  / Роквуд;Лофт, веранда;+7 958 578 23 62;https://twitter.com/AviatorLoft;https://www.loft2rent.ru/loft/87538/108311/
Bazaar foodhall&market;;+7 (495) 101-57-57;N/A;https://www.loft2rent.ru/loft/182619/182621/
BAZE LOFTLOFT BAZE;Лофт, квест;+79777112828;N/A;https://www.loft2rent.ru/loft/168356/168359/
BB LoftsLoftLounge - стильный лофт с караоке и PS5 в 5 минутах от метро;Лофт, игровой зал, антикафе;89301703019;N/A;https://www.loft2rent.ru/loft/58868/206927/
Be HappyЛофт;Лофт;;N/A;https://www.loft2rent.ru/loft/114720/114727/
BenbouBenbou cafe;Банкетный зал;+79687337114;N/A;https://www.loft2rent.ru/loft/88942/88963/
BergaMot;Лофт;+74993703816;https://www.loft2rent.ru/loft/29857/;https://www.loft2rent.ru/loft/29857/116360/
Berlin - лофт с караоке и верандой в центре;лофт с караоке и верандой в центре - Лофт, клуб;+79301703019;https://www.loft2rent.ru/loft/58868/;https://www.loft2rent.ru/loft/95559/38040/
BETON - стилизованный лофт с караоке в 7 минутах от метро;стилизованный лофт с караоке в 7 минутах от метро - Лофт, бар, ночной клуб;+7 958 578 23 62;https://www.loft2rent.ru/loft/loftaviator/;https://www.loft2rent.ru/loft/3593/191703/
BIBLIOTEKA;Лофт, бар, зал, веранда;+7 (495) 032-36-35;https://www.loft2rent.ru/loft/1926/;https://www.loft2rent.ru/loft/1926/28311/
Big LoftBig Loft лофт на Соколе;Ресторан, зал;89060684888;N/A;https://www.loft2rent.ru/loft/153471/153474/
BLACK;Лофт, фотостудия;+79219254594;https://www.loft2rent.ru/loft/79646/;https://www.loft2rent.ru/loft/79646/79648/
Black and White Loft;Лофт, фотостудия;+7 988 388-80-50;N/A;https://www.loft2rent.ru/loft/22069/26746/
Black and White LoftWhite Loft;Зал, антикафе;+7 988 388-80-50;N/A;https://www.loft2rent.ru/loft/22069/34046/
BLACK NEON LOFT;Лофт, концертный зал;+79959885656;N/A;https://www.loft2rent.ru/loft/85459/85463/
BLACK OUT;Лофт;89251539733;https://www.loft2rent.ru/loft/132167/;https://www.loft2rent.ru/loft/132167/196721/
Black Room;Зал;+7 (495) 478-06-38;https://www.loft2rent.ru/loft/109926/;https://www.loft2rent.ru/loft/109926/134715/
BlackBerry — просторный лофт с банкетной зоной рядом с метро;Лофт;+7 958 578 23 62;https://www.loft2rent.ru/loft/loftaviator/;https://www.loft2rent.ru/loft/3593/187784/
BLADE;Лофт, зал, крыша;+7 495 120-19-05;https://www.loft2rent.ru/loft/5338/;https://www.loft2rent.ru/loft/5338/29242/
Blanc;Лофт, зал;8 (499) 116 34 31;https://www.loft2rent.ru/loft/spaceandplace/;https://www.loft2rent.ru/loft/1230/210141/
blanche.place;Лофт, зал;+79995374173;https://www.loft2rent.ru/loft/120937/;https://www.loft2rent.ru/loft/120937/131045/
Blisski;Ресторан, бар, зал, кальянная;+79804321043;N/A;https://www.loft2rent.ru/loft/126555/149070/
Bluefin Event Hall Жуковка;Банкетный зал, ресторан, бар;8 (925) 101-50-36;N/A;https://www.loft2rent.ru/loft/204424/204426/
BOAR studio;;+7 (916) 231-1010;N/A;https://www.loft2rent.ru/loft/176377/176379/
Bogasthetic;Лофт, фотостудия;8 (953) 378-67-63;N/A;https://www.loft2rent.ru/loft/144391/144531/
Boho loft;Лофт;+7 (495)0080403;https://www.loft2rent.ru/loft/30985/;https://www.loft2rent.ru/loft/30985/46290/
Book&GameИнтеллектуальное пространство;;+7 (903) 305-61-48;N/A;https://www.loft2rent.ru/loft/107767/107769/
Boom Box лофт клубЛофт Boom Box (big hall);Лофт, детский центр, антикафе, кальянная;+79293034884;N/A;https://www.loft2rent.ru/loft/171910/171938/
Boom Box лофт клубЛофт Boom Box (small hall);Лофт, конференц-зал, кальянная;+79137084884;N/A;https://www.loft2rent.ru/loft/171910/172209/
Bounce;Зал, конференц-зал, концертный зал;+74958433175;https://www.loft2rent.ru/loft/108466/;https://www.loft2rent.ru/loft/108466/135536/
BRODNIKI LOFT;Лофт;8-996-716-19-94;https://www.loft2rent.ru/loft/115308/;https://www.loft2rent.ru/loft/115308/115382/
Bronze;Зал;+73433630042;https://www.loft2rent.ru/loft/115047/;https://www.loft2rent.ru/loft/115047/115426/
Brooklyn Hookah;Лофт, ресторан, кальянная;+79647117635;N/A;https://www.loft2rent.ru/loft/159066/159280/
Brosko Loft;Лофт, ночной клуб, кальянная;89500219153;https://www.loft2rent.ru/loft/126318/;https://www.loft2rent.ru/loft/126318/126326/
BRULLOV HALL;Лофт, зал, концертный зал;8 (812) 317-12-20;https://www.loft2rent.ru/loft/5338/;https://www.loft2rent.ru/loft/5338/112021/
BRUTAL - лофт со своим выходом во двор, 8 минут от метро Бауманская;лофт со своим выходом во двор, 8 минут от метро Бауманская - Лофт, учебный зал;+7 958 578 23 62;https://www.loft2rent.ru/loft/loftaviator/;https://www.loft2rent.ru/loft/3593/109383/
Budda loft с уютной верандой и грилем;Лофт, ночной клуб, веранда;+7 (495)0080403;https://www.loft2rent.ru/loft/30985/;https://www.loft2rent.ru/loft/30985/51634/
Bull Loft;Лофт, бар, антикафе, кальянная;+7 (996) 566-77-88;https://www.loft2rent.ru/loft/130572/;https://www.loft2rent.ru/loft/130572/130575/
BunkerELYZIUM LOFT;Лофт, ночной клуб, концертный зал;89853489466;N/A;https://www.loft2rent.ru/loft/147456/149189/
Burnova;Банкетный зал, кальянная;+7 (981) 216-17-17;N/A;https://www.loft2rent.ru/loft/117455/117462/
Cactus loft;Лофт, учебный зал, концертный зал;+7 (495)0080403;https://www.loft2rent.ru/loft/30985/;https://www.loft2rent.ru/loft/30985/31049/
Calma SpaceCalma Space | Пространство спокойствия;Лофт, концертный зал, кулинарная студия;+7 (991) 997-13-00;N/A;https://www.loft2rent.ru/loft/145533/153077/
Campus;Лофт, крыша;+7 926 100 3263;N/A;https://www.loft2rent.ru/loft/59771/59786/
Candy Loft;Лофт, веранда;+7 (495)0080403;https://www.loft2rent.ru/loft/30985/;https://www.loft2rent.ru/loft/30985/123347/
CAPELLA;Лофт, зал;8 (812) 317-12-20;https://www.loft2rent.ru/loft/5338/;https://www.loft2rent.ru/loft/5338/112075/
Carat Loft;Лофт, зал, кальянная;+7 (995) 626-65-65;https://www.loft2rent.ru/loft/134148/;https://www.loft2rent.ru/loft/134148/162724/
Cassia Loft;Лофт, на открытом воздухе;+78122407727;https://www.loft2rent.ru/loft/74440/;https://www.loft2rent.ru/loft/74440/141855/
CASTLE CONCERT HALL;Концертный зал, клуб;89152576238;N/A;https://www.loft2rent.ru/loft/209661/209663/
CASTLE CONCERT HALL- Ночной Клуб;Ночной клуб, конференц-зал, концертный зал;+79255165332;https://www.loft2rent.ru/loft/172081/;https://www.loft2rent.ru/loft/172081/203954/
Cat Factory;Коворкинг, учебный зал;89263890166;N/A;https://www.loft2rent.ru/loft/178861/178863/
Cats PubАниме;Лофт, антикафе;89134628525;N/A;https://www.loft2rent.ru/loft/173987/173991/
CHALET + ROOF;Банкетный зал, лофт, шатер, веранда;+7 (495) 032-36-35;https://www.loft2rent.ru/loft/1926/;https://www.loft2rent.ru/loft/1926/19603/
Chalet StudioГончарная мастерская Chalet Китай-город;Лофт;+7 499 995 12 80;N/A;https://www.loft2rent.ru/loft/187831/190134/
Chalet StudioГончарная мастерская Chalet Кропоткинская;Лофт;+7 499 995 12 80;N/A;https://www.loft2rent.ru/loft/187831/190136/
Chalet StudioГончарная мастерская Poetrie Киевская;Лофт;+7 499 995 12 80;N/A;https://www.loft2rent.ru/loft/187831/190132/
Chalet StudioМастерская Poetrie Баррикадная;Лофт;+7 499 995 12 80;N/A;https://www.loft2rent.ru/loft/187831/189568/
Chalet StudioСтудия Chalet на Белорусской;Лофт;+74999951280;N/A;https://www.loft2rent.ru/loft/187831/189307/
Chalet StudioСтудия Chalet Тверская;Лофт;+7 499 995 12 80;N/A;https://www.loft2rent.ru/loft/187831/189306/
Chalfei Catering Лофт Manolo;Лофт, ресторан, конференц-зал;+7 343 343-90-80;N/A;https://www.loft2rent.ru/loft/130734/130764/
Chalfei CateringЛофт LOUIS;Конференц-зал, учебный зал;+7 343 343-90-80;N/A;https://www.loft2rent.ru/loft/130734/130916/
Champagne Hall;Банкетный зал, конференц-зал;+79999917444;https://www.loft2rent.ru/loft/199380/;https://www.loft2rent.ru/loft/112609/202868/
Champagne Hall;Банкетный зал;+79999917444;https://www.loft2rent.ru/loft/199380/;https://www.loft2rent.ru/loft/199380/199382/
Cherdachok loftЛофт Чердачок с Верандой;Лофт, бар, зал;+7(915)1232614;N/A;https://www.loft2rent.ru/loft/136212/136216/
Chill Out Loft Молодежная 26;Лофт;89039328089;https://www.loft2rent.ru/loft/86655/;https://www.loft2rent.ru/loft/86655/86804/
CHINA-LOFT;Лофт, зал, конференц-зал;89689206172;N/A;https://www.loft2rent.ru/loft/120074/120180/
Chorse Lounge 1905 / Чорс;Ресторан, бар, клуб, кальянная;89680494444;https://www.loft2rent.ru/loft/72107/;https://www.loft2rent.ru/loft/72107/72126/
Chorse Lounge Лихаборы;Ресторан, бар, игровой зал, кальянная;+79266764076;https://www.loft2rent.ru/loft/72107/;https://www.loft2rent.ru/loft/72107/119996/
Cin cinCIN CIN;Лофт, крыша, конференц-зал;;N/A;https://www.loft2rent.ru/loft/190858/190863/
