name;website;phone;greatlist_url;notes
Community;https://communitymoscow.ru/?utm_source=greatlist.com&utm_medium=partner;+74998110811;https://greatlist.ru/msk/restaurant/community/;"Кандидат; Бары"
Copen 57;https://copen57.ru/?utm_source=greatlist.com&utm_medium=partner;+79997155757;https://greatlist.ru/msk/restaurant/copen-57/;Городские кафе
Delicatessen;http://delicatessen.bar/?utm_source=greatlist.com&utm_medium=partner;+74956993952;https://greatlist.ru/msk/restaurant/delicatessen/;"Кандидат; Бары"
Di Nulla;https://dinulla.ru?utm_source=greatlist.com&utm_medium=partner;+79261961212;https://greatlist.ru/msk/restaurant/di-nulla/;Городские кафе
Dr. Живаго;https://drzhivago.ru/?utm_source=greatlist.com&utm_medium=partner;+74999220100;https://greatlist.ru/msk/restaurant/dr-zhivago/;Рестораны
Due Forni;https://dueforni.ru/?utm_source=greatlist.com&utm_medium=partner;+74954143104;https://greatlist.ru/msk/restaurant/due-forni/;Высокая кухня
Eva;http://www.eva.lucky-group.ru/?utm_source=greatlist.com&utm_medium=partner;+74951911888;https://greatlist.ru/msk/restaurant/eva/;"Кандидат; Рестораны"
FLØR;https://florgroup.ru/flor?utm_source=greatlist.com&utm_medium=partner;+79152775344;https://greatlist.ru/msk/restaurant/flor/;"Кандидат; Городские кафе"
Folk;https://folk-rest.ru/?utm_source=greatlist.com&utm_medium=partner;+74951898888;https://greatlist.ru/msk/restaurant/folk/;"Кандидат; Рестораны"
Fumisawa;https://novikovgroup.ru/restaurants/Fumisawa/?utm_source=greatlist.com&utm_medium=partner;+74957751969;https://greatlist.ru/msk/restaurant/fumisawa/;"Кандидат; Рестораны"
Grace Bistro;https://gracebistro.ru?utm_source=greatlist.com&utm_medium=partner;+74959001061;https://greatlist.ru/msk/restaurant/grace/;"Кандидат; Рестораны"
Grand Cru;http://www.grandcru.ru/?utm_source=greatlist.com&utm_medium=partner;+74955106567;https://greatlist.ru/msk/restaurant/grand-cru/;"Кандидат; Высокая кухня"
Ikra;https://ikra.wrf.su/moscow?utm_source=greatlist.com&utm_medium=partner;+74996732255;https://greatlist.ru/msk/restaurant/ikra/;"Кандидат; Высокая кухня"
Ikura;https://ikura.rest/?utm_source=greatlist.com&utm_medium=partner;+74951985858;https://greatlist.ru/msk/restaurant/ikura/;"Кандидат; Рестораны"
IMA;https://ima.rest/?utm_source=greatlist.com&utm_medium=partner;+74994440903;https://greatlist.ru/msk/restaurant/ima/;"Кандидат; Рестораны"
Insider Bar;https://insiderbar.ru?utm_source=greatlist.com&utm_medium=partner;+74953637744;https://greatlist.ru/msk/restaurant/insider-bar/;"Кандидат; Бары"
Jun;https://jun.lucky-group.rest/?utm_source=greatlist.com&utm_medium=partner;+74951898988;https://greatlist.ru/msk/restaurant/jun/;"Кандидат; Рестораны"
Kaifuso;https://kaifuso.rest/?utm_source=greatlist.com&utm_medium=partner;+74957302277;https://greatlist.ru/msk/restaurant/kaifuso/;"Кандидат; Рестораны"
KM20;https://km20food.ru/?utm_source=greatlist.com&utm_medium=partner;+74959872220;https://greatlist.ru/msk/restaurant/km20/;"Кандидат; Городские кафе"
Koji;http://www.koji.lucky-group.ru/?utm_source=greatlist.com&utm_medium=partner;+74958187788;https://greatlist.ru/msk/restaurant/koji/;"Кандидат; Рестораны"
Krasota;https://krasota.wrf.su/?utm_source=greatlist.com&utm_medium=partner;+74957874787;https://greatlist.ru/msk/restaurant/krasota/;"Кандидат; Высокая кухня"
La Bottega Siciliana;https://bottega-siciliana.com/?utm_source=greatlist.com&utm_medium=partner;+74956600383;https://greatlist.ru/msk/restaurant/bottega-siciliana/;"Кандидат; Высокая кухня"
La Marée;https://la-maree.ru/?utm_source=greatlist.com&utm_medium=partner;+74956940930;https://greatlist.ru/msk/restaurant/la-maree-na-petrovke/;"Кандидат; Высокая кухня"
Leveldva;https://ugolek.moscow/leveldva?utm_source=greatlist.com&utm_medium=partner;+79099590137;https://greatlist.ru/msk/restaurant/leveldva/;"Кандидат; Бары"
Look up Cafe&Shop;https://lookupcafe.ru/?utm_source=greatlist.com&utm_medium=partner;+79037901898;https://greatlist.ru/msk/restaurant/look-up-cafeshop/;"Кандидат; Городские кафе"
Loona;http://loona.rest/?utm_source=greatlist.com&utm_medium=partner;+74951509100;https://greatlist.ru/msk/restaurant/loona/;"Кандидат; Городские кафе"
Loro;https://www.loro.lucky-group.ru/?utm_source=greatlist.com&utm_medium=partner;+74958189818;https://greatlist.ru/msk/restaurant/loro/;"Кандидат; Рестораны"
Lucky Izakaya Bar;https://www.luckyizakaya.lucky-group.ru/?utm_source=greatlist.com&utm_medium=partner;+74951897888;https://greatlist.ru/msk/restaurant/lucky-izakaya-bar/;"Кандидат; Рестораны"
Lui;https://alfa.me/db1OAY;+74957998794;https://greatlist.ru/msk/restaurant/lui/;Высокая кухня
Magnum Wine Bar;https://magnumwine.ru/?utm_source=greatlist.com&utm_medium=partner;+74957758805;https://greatlist.ru/msk/restaurant/magnum-wine-bar/;"Кандидат; Бары"
Mama Tuta;https://www.probka.org/restaurants/mama-tuta-patriatch?utm_source=greatlist.com&utm_medium=partner;+74993994090;https://greatlist.ru/msk/restaurant/mama-tuta/;"Кандидат; Рестораны"
Mamie;https://mamie.lucky-group.rest/?utm_source=greatlist.com&utm_medium=partner;+74951897878;https://greatlist.ru/msk/restaurant/mamie/;"Кандидат; Рестораны"
Maritozzo;https://probka.org/restaurants/maritozzo/?utm_source=greatlist.com&utm_medium=partner;+74993995090;https://greatlist.ru/msk/restaurant/maritozzo/;"Кандидат; Высокая кухня"
Marmo;https://marmorest.ru/?utm_source=greatlist.com&utm_medium=partner;+79250605015;https://greatlist.ru/msk/restaurant/marmo/;"Кандидат; Рестораны"
Masa Madre;https://masamadre.ru?utm_source=greatlist.com&utm_medium=partner;+74956362981;https://greatlist.ru/msk/restaurant/masa-madre/;"Кандидат; Городские кафе"
Max’s Beef for Money;https://www.facebook.com/maxsrestmoscow?utm_source=greatlist.com&utm_medium=partner;+79857660578;https://greatlist.ru/msk/restaurant/maxs-beef-for-money/;"Кандидат; Рестораны"
Mendeleev;https://mendeleev.bar/?utm_source=greatlist.com&utm_medium=partner;+74952233850;https://greatlist.ru/msk/restaurant/mendeleev-bar/;"Кандидат; Бары"
Mina;https://probka.org/restaurants/mina-msk/?utm_source=greatlist.com&utm_medium=partner;+74993905090;https://greatlist.ru/msk/restaurant/mina-3/;"Кандидат; Рестораны"
Mr. Lee;https://mrlee.ru/?utm_source=greatlist.com&utm_medium=partner;+74957306663;https://greatlist.ru/msk/restaurant/mr-lee/;"Кандидат; Рестораны"
Muse;https://alfa.me/db1OAY;+79672709372;https://greatlist.ru/msk/restaurant/muse/;"Кандидат; Рестораны"
Mushrooms;https://mushroomsmoscow.ru/ru/?utm_source=greatlist.com&utm_medium=partner;+74957252578;https://greatlist.ru/msk/restaurant/mushrooms/;Рестораны
Niki;https://niki.lucky-group.ru/?utm_source=greatlist.com&utm_medium=partner;+74951898838;https://greatlist.ru/msk/restaurant/niki/;"Кандидат; Высокая кухня"
Noor;https://www.noorbar.com/?utm_source=greatlist.com&utm_medium=partner;+79031367686;https://greatlist.ru/msk/restaurant/noor/;"Кандидат; Бары"
Olluco;http://olluco.ru/?utm_source=greatlist.com&utm_medium=partner;+74951098763;https://greatlist.ru/msk/restaurant/olluco/;Высокая кухня
Oltremare;https://oltremare.lucky-group.rest?utm_source=greatlist.com&utm_medium=partner;84951898913;https://greatlist.ru/msk/restaurant/oltremare/;Высокая кухня
Onest;https://onestrest.ru?utm_source=greatlist.com&utm_medium=partner;+79854707030;https://greatlist.ru/msk/restaurant/onest/;"Кандидат; Высокая кухня"
Padron;https://padron-rest.ru/?utm_source=greatlist.com&utm_medium=partner;+74951898088;https://greatlist.ru/msk/restaurant/padron/;"Кандидат; Рестораны"
Pino;http://pinorestaurantbar.ru/?utm_source=greatlist.com&utm_medium=partner;+79011879040;https://greatlist.ru/msk/restaurant/pino/;"Кандидат; Рестораны"
Probka;https://www.probka.org/restaurants/msk/probka-na-tsvetnom/?utm_source=greatlist.com&utm_medium=partner;+74959959045;https://greatlist.ru/msk/restaurant/probka/;"Кандидат; Рестораны"
Radio Greenhouse;https://alfa.me/db1OAY;+79916471170;https://greatlist.ru/msk/restaurant/radio-greenhouse/;Городские кафе
Regent;https://pinski.rest/restaurants/regent/?utm_source=greatlist.com&utm_medium=partner;+79264355554;https://greatlist.ru/msk/restaurant/regent/;"Кандидат; Высокая кухня"
Remy Kitchen Bakery;http://remykitchenbakery.ru/?utm_source=greatlist.com&utm_medium=partner;+79851829600;https://greatlist.ru/msk/restaurant/remy/;"Кандидат; Рестораны"
Rockets.concept store;https://rockets.coffee/coffee-shops?utm_source=greatlist.com&utm_medium=partner;89365550645;https://greatlist.ru/msk/restaurant/rockets-concept-store/;"Кандидат; Городские кафе"
Salone Pasta & Bar;https://atelierfamily.ru/salone-moscow?utm_source=greatlist.com&utm_medium=partner;+79299261199;https://greatlist.ru/msk/restaurant/salone-pasta-bar-msk/;"Кандидат; Рестораны"
Sangre Fresca;https://sangre-fresca.com/?utm_source=greatlist.com&utm_medium=partner;+74956468060;https://greatlist.ru/msk/restaurant/sangre-fresca/;"Кандидат; Бары"
Saray;http://saray.lucky-group.rest/?utm_source=greatlist.com&utm_medium=partner;+74951898819;https://greatlist.ru/msk/restaurant/saray/;"Кандидат; Рестораны"
Sartoria Lamberti;https://www.sartorialamberti.com/?utm_source=greatlist.com&utm_medium=partner;+74957950025;https://greatlist.ru/msk/restaurant/sartoria-lamberti/;"Кандидат; Рестораны"
Savva;https://www.savvarest.ru/?utm_source=greatlist.com&utm_medium=partner;+74997959999;https://greatlist.ru/msk/restaurant/savva/;"Кандидат; Высокая кухня"
Self Edge Japanese;https://dreamteam.fm/selfedgejapanese_msk?utm_source=greatlist.com&utm_medium=partner;+79365553666;https://greatlist.ru/msk/restaurant/self-edge-japanese-6/;Рестораны
Selfie;https://selfiemoscow.ru/?utm_source=greatlist.com&utm_medium=partner;+74959958503;https://greatlist.ru/msk/restaurant/selfie/;"Кандидат; Высокая кухня"
Semifreddo;https://semifreddo-restaurant.com/?utm_source=greatlist.com&utm_medium=partner;+74951815555;https://greatlist.ru/msk/restaurant/semifreddo/;"Кандидат; Высокая кухня"
Silencio;https://alfa.me/db1OAY;+74951458858;https://greatlist.ru/msk/restaurant/silencio/;"Кандидат; Бары"
Smoke BBQ;https://smokebbq.ru/msk?utm_source=greatlist.com&utm_medium=partner;+74993995372;https://greatlist.ru/msk/restaurant/smoke-bbq/;"Кандидат; Городские кафе"
The Bix Bar;https://thebix.bar/?utm_source=greatlist.com&utm_medium=partner;+74952521091;https://greatlist.ru/msk/restaurant/the-bix/;"Кандидат; Бары"
Tokyo Sushi;http://tokyosushibar.ru/?utm_source=greatlist.com&utm_medium=partner;+74951815222;https://greatlist.ru/msk/restaurant/tokio-sushi/;"Кандидат; Городские кафе"
Tottori;https://tottori.ru/?utm_source=greatlist.com&utm_medium=partner;+74996780866;https://greatlist.ru/msk/restaurant/tottori/;"Кандидат; Городские кафе"
Vadvare;https://alfa.me/db1OAY;+74959907223;https://greatlist.ru/msk/restaurant/vadvare/;Высокая кухня
Veladora;http://veladora.ru/?utm_source=greatlist.com&utm_medium=partner;+74953578548;https://greatlist.ru/msk/restaurant/veladora/;"Кандидат; Бары"
WA Garden;https://wa-garden.com/?utm_source=greatlist.com&utm_medium=partner;+79031088878;https://greatlist.ru/msk/restaurant/wa-garden/;"Кандидат; Рестораны"
White rabbit;https://whiterabbitmoscow.ru/ru/?utm_source=greatlist.com&utm_medium=partner;+74955105101;https://greatlist.ru/msk/restaurant/white-rabbit/;"Кандидат; Высокая кухня"
Айна;https://ainarest.ru/?utm_source=greatlist.com&utm_medium=partner;+74951031023;https://greatlist.ru/msk/restaurant/ajna/;"Кандидат; Рестораны"
Белуга;http://belugamoscow.ru/?utm_source=greatlist.com&utm_medium=partner;+74959010336;https://greatlist.ru/msk/restaurant/beluga/;Высокая кухня
Высота 5642;http://vysota5642.moscow/?utm_source=greatlist.com&utm_medium=partner;+74956249321;https://greatlist.ru/msk/restaurant/vysota-5642/;"Кандидат; Городские кафе"
Гвидон;https://gvidon.wrf.su/?utm_source=greatlist.com&utm_medium=partner;+74952580888;https://greatlist.ru/msk/restaurant/gvidon/;"Кандидат; Высокая кухня"
Горыныч;https://gorynich.com/?utm_source=greatlist.com&utm_medium=partner;+74959373811;https://greatlist.ru/msk/restaurant/gorynych/;"Кандидат; Рестораны"
Дичь;https://dichperedelkino.ru/?utm_source=greatlist.com&utm_medium=partner;+79852313151;https://greatlist.ru/msk/restaurant/dich/;Рестораны
Жажда крови;https://zhazhdakrovy.ru?utm_source=greatlist.com&utm_medium=partner;+74994954493;https://greatlist.ru/msk/restaurant/zhazhda-krovi/;"Кандидат; Рестораны"
За крышей;https://www.instagram.com/marat_nakryshe?utm_source=greatlist.com&utm_medium=partner;+74959970799;https://greatlist.ru/msk/restaurant/za-kryshej/;"Кандидат; Рестораны"
Зойка;http://zoykarest.ru/?utm_source=greatlist.com&utm_medium=partner;+74951031003;https://greatlist.ru/msk/restaurant/zojka/;"Кандидат; Бары"
Казбек;https://www.mykazbek.ru/?utm_source=greatlist.com&utm_medium=partner;+74956518100;https://greatlist.ru/msk/restaurant/kazbek/;"Кандидат; Рестораны"
Каппо Хироки Аракава;https://www.hiroki.ru/?utm_source=greatlist.com&utm_medium=partner;+79670009808;https://greatlist.ru/msk/restaurant/kappo-hiroki-arakava/;"Кандидат; Рестораны"
Кафе Пушкинъ;https://cafe-pushkin.ru?utm_source=greatlist.com&utm_medium=partner;+74957390033;https://greatlist.ru/msk/restaurant/pushkin/;"Кандидат; Высокая кухня"
Коробок;https://korobokmoscow.ru/?utm_source=greatlist.com&utm_medium=partner;+74992770007;https://greatlist.ru/msk/restaurant/korobok/;"Кандидат; Бары"
Кофемания;https://coffeemania.ru?utm_source=greatlist.com&utm_medium=partner;+74994951554;https://greatlist.ru/msk/restaurant/kofemania/;"Кандидат; Рестораны"
Кофемания Chef’s;https://coffeemania.ru/restaurants/chefs?utm_source=greatlist.com&utm_medium=partner;+74994954081;https://greatlist.ru/msk/restaurant/kofemaniya-chefs/;"Кандидат; Рестораны"
Матрешка;https://matryoshka-rest.ru/?utm_source=greatlist.com&utm_medium=partner;+74950252565;https://greatlist.ru/msk/restaurant/matreshka/;Рестораны
Мультикультура;https://multicultura.ru/?utm_source=greatlist.com&utm_medium=partner;+74991130977;https://greatlist.ru/msk/restaurant/multikultura/;"Кандидат; Городские кафе"
Муся и второе;https://www.instagram.com/musyalavka?utm_source=greatlist.com&utm_medium=partner;+74950556530;https://greatlist.ru/msk/restaurant/musya-i-vtoroe/;"Кандидат; Городские кафе"
Пафос;https://pafos.rest/?utm_source=greatlist.com&utm_medium=partner;+74951201116;https://greatlist.ru/msk/restaurant/pafos/;"Кандидат; Рестораны"
Рыбторг;https://rybtorg.moscow/?utm_source=greatlist.com&utm_medium=partner;+79651769777;https://greatlist.ru/msk/restaurant/rybtorg/;"Кандидат; Рестораны"
Сахалин;https://sakhalin-moscow.ru/?utm_source=greatlist.com&utm_medium=partner;+74956476479;https://greatlist.ru/msk/restaurant/sakhalin/;"Кандидат; Высокая кухня"
Сахли;http://sahli.ru/?utm_source=greatlist.com&utm_medium=partner;+74956994503;https://greatlist.ru/msk/restaurant/sakhli/;"Кандидат; Городские кафе"
Северяне;https://severyane.moscow/?utm_source=greatlist.com&utm_medium=partner;+79771919116;https://greatlist.ru/msk/restaurant/severyane/;"Кандидат; Рестораны"
Старая корова;https://t.me/cooperativemeat?utm_source=greatlist.com&utm_medium=partner;+79037473445;https://greatlist.ru/msk/restaurant/staraya-korova/;Городские кафе
Узбекистан;https://uzbek-rest.ru/?utm_source=greatlist.com&utm_medium=partner;+74956230585;https://greatlist.ru/msk/restaurant/uzbekistan/;"Кандидат; Рестораны"
