Название компании,Название сделки,Телефон,Email,Сайт
ИглуЛофт. Гости. Лофт из двух комнат с выходом на веранду,ИглуЛофт. Гости. Лофт из двух комнат с выходом на веранду,79910173255,,https://www.reveltime.ru/venue/3754608?eventtype=vecherinka
ИглуЛофт. Грейлофт. Лофт-зал в современном стиле,ИглуЛофт. Грейлофт. Лофт-зал в современном стиле,79019317643,,https://www.reveltime.ru/venue/4553552?eventtype=vecherinka
ИглуЛофт. Майами. Яркий лофт-зал с окнами на веранду,ИглуЛофт. Майами. Яркий лофт-зал с окнами на веранду,79910173255,,https://www.reveltime.ru/venue/3759849?eventtype=vecherinka
ИглуЛофт. Нео Классик. Стильный лофт-зал,ИглуЛофт. Нео Классик. Стильный лофт-зал,79910173255,,https://www.reveltime.ru/venue/3759834?eventtype=vecherinka
ИглуЛофт. Панорама. Чёрный лофт-зал,ИглуЛофт. Панорама. Чёрный лофт-зал,79910172413,,https://www.reveltime.ru/venue/3482958?eventtype=vecherinka
ИглуЛофт. Шэдоулофт. Премиальный лофт-зал,ИглуЛофт. Шэдоулофт. Премиальный лофт-зал,79346691548,,https://www.reveltime.ru/venue/6055753?eventtype=vecherinka
Игра Престолов,Игра Престолов,78126067020,,https://www.loft2rent.ru/loft/169051
Игровая с PS5 до 6 гостей на Тверской,Игровая с PS5 до 6 гостей на Тверской,79262851313,,https://www.loft2rent.ru/loft/104695
Изостудия Дом Художника в Измайлово. Арт-пространство с высокими потолками,Изостудия Дом Художника в Измайлово. Арт-пространство с высокими потолками,79346608162,,https://www.reveltime.ru/venue/3699065?eventtype=vecherinka
Икша Кантри Клаб,Икша Кантри Клаб,74995055031,,https://www.loft2rent.ru/loft/69187/69189
Икша Кантри КлабДача 100 м² на участке 10 соток,Икша Кантри КлабДача 100 м² на участке 10 соток,74995055031,,https://www.loft2rent.ru/loft/69187/112222
Икша Кантри КлабДомик Олимпийская деревня Коралловый,Икша Кантри КлабДомик Олимпийская деревня Коралловый,74995055031,,https://www.loft2rent.ru/loft/69187/137626
Икша Кантри КлабДомик Олимпийская деревня Морской,Икша Кантри КлабДомик Олимпийская деревня Морской,74995055031,,https://www.loft2rent.ru/loft/69187/137623
Икша Кантри КлабКоттедж 150 м² на участке 10 соток,Икша Кантри КлабКоттедж 150 м² на участке 10 соток,74995055031,,https://www.loft2rent.ru/loft/69187/112172
Икша Кантри КлабТаунхаус 100 м² на участке 10 сот. Таунхаус 100 м² на участке 10 соток,Икша Кантри КлабТаунхаус 100 м² на участке 10 сот. Таунхаус 100 м² на участке 10 соток,74995055031,,https://www.loft2rent.ru/loft/69187/112256
Икша Кантри КлабТаунхаус 50 м² на участке 10 сот.,Икша Кантри КлабТаунхаус 50 м² на участке 10 сот.,74995055031,,https://www.loft2rent.ru/loft/69187/111578
Икша Кантри КлабШале 70 м,Икша Кантри КлабШале 70 м,74995055031,,https://www.loft2rent.ru/loft/69187/112194
Империя Скай Лофт,Империя Скай Лофт,74999385501,,https://www.loft2rent.ru/loft/10755/26531
Импульс,Импульс,79935905884,,https://www.loft2rent.ru/loft/92780
Инвестиционный Потребительский Кооператив «Кнокей. Арендная Недвижимость»,Инвестиционный Потребительский Кооператив «Кнокей. Арендная Недвижимость»,74992859767,hotels_web_errorhub@error-hub.tbank.ru,https://www.tbank.ru/travel/hotels/new/hotels/2642990
Инвестторгбанк,Инвестторгбанк,,info@itb.ru,https://itb.ru
Ингосстрах Банк,Ингосстрах Банк,74957295555,info@banksoyuz.ru,https://ingobank.ru
Индиго,Индиго,74954780638,,https://www.loft2rent.ru/loft/109926
ИНСАЙД 2.0,ИНСАЙД 2.0,79112793938,,https://www.loft2rent.ru/loft/94069
Интер РАО,Интер РАО,74956648840,ir.interrao@ya.ru,https://www.interrao.ru
Интер РАО Инжиниринг,Интер РАО Инжиниринг,74956648840,ir.interrao@ya.ru,https://interrao.ru
Интерфакс,Интерфакс,74952236699,ad.interfax@roden-media.ru,https://interfax.ru
Интерьерная студия для творчества и вечеринок,Интерьерная студия для творчества и вечеринок,79687397476,,https://www.reveltime.ru/venue/2783203?eventtype=vecherinka
Интра Лофт,Интра Лофт,79956973260,,https://www.loft2rent.ru/loft/92492/92495
Интра ЛофтЛоки Лофт,Интра ЛофтЛоки Лофт,79956973260,,https://www.loft2rent.ru/loft/92492/117415
Интра ЛофтЛофт Ронго,Интра ЛофтЛофт Ронго,79956973260,,https://www.loft2rent.ru/loft/92492/135308
Интра ЛофтРати Лофт,Интра ЛофтРати Лофт,79956973260,,https://www.loft2rent.ru/loft/92492/134378
ИнтриганыТеатральное пространство,ИнтриганыТеатральное пространство,79161717969,,https://www.loft2rent.ru/loft/206070/206077
ИпСдвижков,ИпСдвижков,79777752726,,https://www.loft2rent.ru/loft/210458/210483
ИскраХоллБанкетный зал ИскраХолл,ИскраХоллБанкетный зал ИскраХолл,79055472820,,https://www.loft2rent.ru/loft/154327/158133
ИскраХоллКонференц-зал ИскраХолл,ИскраХоллКонференц-зал ИскраХолл,79055472820,,https://www.loft2rent.ru/loft/154327/171717
Исторический музей,Исторический музей,74872773165,add-to-calendar-button@2.js,https://shm.ru
Источник света,Источник света,79198973218,,https://www.loft2rent.ru/loft/103888/103890
Источник светаЦиклорама,Источник светаЦиклорама,79198973218,,https://www.loft2rent.ru/loft/103888/197260
Италия,Италия,74954780638,,https://www.loft2rent.ru/loft/109926
К Марсу,К Марсу,78122007818,,https://www.loft2rent.ru/loft/75982
"Кабинет ""Державинский""","Кабинет ""Державинский""",79585386547,,https://www.loft2rent.ru/loft/114505
"Кабинет ""Ревельский""","Кабинет ""Ревельский""",79585386547,,https://www.loft2rent.ru/loft/114505
"Кабинет ""Рыцарский""","Кабинет ""Рыцарский""",79585386547,,https://www.loft2rent.ru/loft/114505
Кабинет 101,Кабинет 101,79991201020,,https://www.loft2rent.ru/loft/177033/177035
Кабинет для переговоров № 13,Кабинет для переговоров № 13,79647264515,,https://www.loft2rent.ru/loft/118815
Кабинет для проведения семинаров и тренинговЗал 35 м2,Кабинет для проведения семинаров и тренинговЗал 35 м2,79253162853,,https://www.loft2rent.ru/loft/78914/112521
Кабинет для проведения семинаров и тренинговЗал 40 м2,Кабинет для проведения семинаров и тренинговЗал 40 м2,79253162853,,https://www.loft2rent.ru/loft/78914/79733
Кабинет для проведения семинаров и тренинговЗал 46 м2,Кабинет для проведения семинаров и тренинговЗал 46 м2,79253162853,,https://www.loft2rent.ru/loft/78914/79736
Кабинет для проведения семинаров и тренинговЗал№4,Кабинет для проведения семинаров и тренинговЗал№4,79253162853,,https://www.loft2rent.ru/loft/78914/79230
Кабинет психолога №25,Кабинет психолога №25,79647264515,,https://www.loft2rent.ru/loft/118815
Кабинет психолога №26,Кабинет психолога №26,79647264515,,https://www.loft2rent.ru/loft/118815
Кабинет Эви,Кабинет Эви,79160876137,,https://www.loft2rent.ru/loft/155206
Казбек,Казбек,74956518100,,https://www.mykazbek.ru/
КайросСмоленский бульвар 22/14,КайросСмоленский бульвар 22/14,79670696835,,https://www.loft2rent.ru/loft/198471/198474
Кальянная ПОЧИЛИМ,Кальянная ПОЧИЛИМ,79026984414,,https://www.loft2rent.ru/loft/195455
КАМАЗ (офис МСК),КАМАЗ (офис МСК),,callcentre@kamaz.org,https://kamaz.ru
Камерная площадка в стиле лофт на Большой Никиктской,Камерная площадка в стиле лофт на Большой Никиктской,79851978001,,https://www.loft2rent.ru/loft/188222
Камерный зал винного бара,Камерный зал винного бара,79819869826,,https://www.loft2rent.ru/loft/141917
Камерный лофт Life со сценой и красивым видом из окна,Камерный лофт Life со сценой и красивым видом из окна,79852198400,,https://www.loft2rent.ru/loft/97467
"Кандинский - Уютный лофт мансарда, лекторий с амфитеатром","Кандинский - Уютный лофт мансарда, лекторий с амфитеатром",74950327390,,https://www.loft2rent.ru/loft/5581
Каппо Хироки Аракава,Каппо Хироки Аракава,79670009808,,https://www.hiroki.ru/
"Караоке ""Bonnie&Clyde""","Караоке ""Bonnie&Clyde""",79119257643,,https://www.loft2rent.ru/loft/93765/93771
Караоке клуб Трели,Караоке клуб Трели,79036295353,,https://www.loft2rent.ru/loft/127613/127615
Караоке Соловей Караоке Соловей,Караоке Соловей Караоке Соловей,79998820868,,https://www.loft2rent.ru/loft/166272/166274
Караоке-ЛофтЭхоЗал Космос,Караоке-ЛофтЭхоЗал Космос,79299347733,,https://www.loft2rent.ru/loft/114708/119257
Караоке-ЛофтЭхоЗал Лава,Караоке-ЛофтЭхоЗал Лава,79299347733,,https://www.loft2rent.ru/loft/114708/119282
Караоке-ЛофтЭхоЗал Лагуна,Караоке-ЛофтЭхоЗал Лагуна,79299347733,,https://www.loft2rent.ru/loft/114708/119270
Караоке-ЛофтЭхоЗал Тропики,Караоке-ЛофтЭхоЗал Тропики,79299347733,,https://www.loft2rent.ru/loft/114708/119264
Караоке-ЛофтЭхоЗал Эйфория,Караоке-ЛофтЭхоЗал Эйфория,79299347733,,https://www.loft2rent.ru/loft/114708/119280
Каток,Каток,78122133202,,https://twitter.com/sevcableport
Кафе под закрытие в советском стиле,Кафе под закрытие в советском стиле,79199964838,,https://www.reveltime.ru/venue/3170777?eventtype=vecherinka
Кафе Пушкинъ,Кафе Пушкинъ,74957390033,,https://cafe-pushkin.ru
Кафе Соколов Еда,Кафе Соколов Еда,79616073600,,https://www.loft2rent.ru/loft/123399/123406
Кафе ТочкаКАФЕ ТОЧКА,Кафе ТочкаКАФЕ ТОЧКА,79067116660,,https://www.loft2rent.ru/loft/206054/206100
Кафе Утренник. Кафе под закрытие в самом центре Москвы,Кафе Утренник. Кафе под закрытие в самом центре Москвы,79893636021,,https://www.reveltime.ru/venue/7769700?eventtype=vecherinka
КафеРоза ВЕТРОВ,КафеРоза ВЕТРОВ,79261825584,,https://www.loft2rent.ru/loft/186174/187845
Квант,Квант,79162981998,,https://www.loft2rent.ru/loft/92780
Квартира №9,Квартира №9,79933391939,,https://www.loft2rent.ru/loft/160743/160745
Квартира №9Квартира №9 VIP,Квартира №9Квартира №9 VIP,79933391939,,https://www.loft2rent.ru/loft/160743/163087
Кварц,Кварц,79689739030,,https://www.loft2rent.ru/loft/2518
Квестаун Party. &quot;А1&quot;. Стильный лофт-зал на севере города,Квестаун Party. &quot;А1&quot;. Стильный лофт-зал на севере города,79161076553,,https://www.reveltime.ru/venue/6992054?eventtype=vecherinka
Квестаун partyLOFT А1,Квестаун partyLOFT А1,79161076553,,https://www.loft2rent.ru/loft/33582/145414
Квестаун partyГолубой лофт,Квестаун partyГолубой лофт,79775202127,,https://www.loft2rent.ru/loft/33582/73598
Квестаун partyЗеленый лофт,Квестаун partyЗеленый лофт,79775202127,,https://www.loft2rent.ru/loft/33582/45711
Кедр Зайцево,Кедр Зайцево,74952745354,,https://www.loft2rent.ru/loft/183501/183503
"Кенди- милый лофт с диско-шаром, караоке и приставкой!","Кенди- милый лофт с диско-шаром, караоке и приставкой!",74991113716,,https://www.loft2rent.ru/loft/131919
Кентукки,Кентукки,73433630042,,https://www.loft2rent.ru/loft/115047
КиберКлуб YouPlay (Ты играешь). Клуб компьютерных и консольных игр,КиберКлуб YouPlay (Ты играешь). Клуб компьютерных и консольных игр,79676928564,,https://www.reveltime.ru/venue/2840766?eventtype=vecherinka
"КиберКлуб Youplay (Юплей). Кибер-лофт с консолями, рулями, VR и ПК","КиберКлуб Youplay (Юплей). Кибер-лофт с консолями, рулями, VR и ПК",79584974228,,https://www.reveltime.ru/venue/7591289?eventtype=vecherinka
КиберКлуб на праздник / КиберКлуб на праздникКибер-Клуб,КиберКлуб на праздник / КиберКлуб на праздникКибер-Клуб,79663220805,,https://www.loft2rent.ru/loft/169049/171682
Киберпанк,Киберпанк,73919898633,,https://www.loft2rent.ru/loft/164165
"КидсТаунЛофт - игровая КидсТаун , детский центр","КидсТаунЛофт - игровая КидсТаун , детский центр",79015203025,,https://www.loft2rent.ru/loft/198921/199771
Киндер Лофт,Киндер Лофт,79153975432,,https://www.loft2rent.ru/loft/66611
Кинобар на крыше,Кинобар на крыше,79933426897,,https://www.loft2rent.ru/loft/194243
Киностудия ТвоёКино,Киностудия ТвоёКино,74991131095,,https://www.loft2rent.ru/loft/9768/44321
Киото. Светлый зал с кухней,Киото. Светлый зал с кухней,79910172413,,https://www.reveltime.ru/venue/9157812?eventtype=vecherinka
Китай,Китай,78124435702,,https://www.loft2rent.ru/loft/83744
Китайский Летчик Джао ДаГостиная Лётчика,Китайский Летчик Джао ДаГостиная Лётчика,74956245611,,https://www.loft2rent.ru/loft/205810/206021
Классик,Классик,74954780638,,https://www.loft2rent.ru/loft/109926
"Классик - элегантный лофт в классическом стиле с акцентным освещением, диско‑шаром и караоке!","Классик - элегантный лофт в классическом стиле с акцентным освещением, диско‑шаром и караоке!",74951914157,,https://www.loft2rent.ru/loft/142644
"Классик и Дримс - лофт с двумя залами с объемным профессиональным звуком, караоке и фотозоной и с неоном!","Классик и Дримс - лофт с двумя залами с объемным профессиональным звуком, караоке и фотозоной и с неоном!",74951914157,,https://www.loft2rent.ru/loft/142644
"Классический зал ""Вдохновение""","Классический зал ""Вдохновение""",79119590326,,https://www.loft2rent.ru/loft/92234
"Классический зал ""Лофт"" с караоке / 3 мин. от метро Семеновская","Классический зал ""Лофт"" с караоке / 3 мин. от метро Семеновская",74998881633,,https://www.loft2rent.ru/loft/126908
Клаустрофобия ОнлайнЛофт Волшебный лес,Клаустрофобия ОнлайнЛофт Волшебный лес,79257676433,,https://www.loft2rent.ru/loft/200457/200459
Клаустрофобия ОфлайнПостапокалипсис МСК2048,Клаустрофобия ОфлайнПостапокалипсис МСК2048,74994605420,,https://www.loft2rent.ru/loft/199550/199552
КлаустрофобияДревний Египет,КлаустрофобияДревний Египет,74951350500,,https://www.loft2rent.ru/loft/199746/200029
КлаустрофобияМашина времени,КлаустрофобияМашина времени,74951350500,,https://www.loft2rent.ru/loft/199746/200035
КлаустрофобияОграбление Банка,КлаустрофобияОграбление Банка,74951350500,,https://www.loft2rent.ru/loft/199746/200032
КлаустрофобияСредневековье,КлаустрофобияСредневековье,74951350500,,https://www.loft2rent.ru/loft/199746/200024
Климт - 26 м² золотого символизма,Климт - 26 м² золотого символизма,74950327390,,https://www.loft2rent.ru/loft/5581
Клуб «Сова» караоке,Клуб «Сова» караоке,79778502014,,https://www.loft2rent.ru/loft/142119/142121
Клуб Гадкий Койот,Клуб Гадкий Койот,79164400130,,https://www.loft2rent.ru/loft/101001
Клуб Лофт PRAVDA,Клуб Лофт PRAVDA,79585410041,,https://www.loft2rent.ru/loft/97591
Клуб Лофт «ЗАВАРКА» аренда под мероприятия,Клуб Лофт «ЗАВАРКА» аренда под мероприятия,79585410041,,https://www.loft2rent.ru/loft/97591
Клуб Лофт «Ленинград» аренда,Клуб Лофт «Ленинград» аренда,79585410041,,https://www.loft2rent.ru/loft/97591
Клуб Лофт Пляж “Soho country club”,Клуб Лофт Пляж “Soho country club”,79585410041,,https://www.loft2rent.ru/loft/97591
Клуб Притяжение,Клуб Притяжение,79197672719,,https://www.loft2rent.ru/loft/193133/193135
Клуб резиденция для праздников и мероприятий,Клуб резиденция для праздников и мероприятий,79255165332,,https://www.loft2rent.ru/loft/172081
Клуб-бар Резиденция,Клуб-бар Резиденция,79653734040,,https://www.loft2rent.ru/loft/207271
Клубная система ОреховоКонцертный зал,Клубная система ОреховоКонцертный зал,7495682422237513754,,https://www.loft2rent.ru/loft/136619/136621
Клубный лофт ЮМЕЙКЕР на Красном октябре,Клубный лофт ЮМЕЙКЕР на Красном октябре,79770002153,,https://www.loft2rent.ru/loft/183656
Клуэдо,Клуэдо,78122007818,,https://www.loft2rent.ru/loft/75982
Коворкинг RIDGE,Коворкинг RIDGE,79213609300,,https://www.loft2rent.ru/loft/95630/95649
Коворкинг Smart Yard2-х этажный лофт вместимость до 30 человек,Коворкинг Smart Yard2-х этажный лофт вместимость до 30 человек,79645136167,,https://www.loft2rent.ru/loft/57408/201262
Коворкинг Smart YardКоворкинг Практик,Коворкинг Smart YardКоворкинг Практик,79645136167,,https://www.loft2rent.ru/loft/57408/57410
Коворкинг для мероприятийВода,Коворкинг для мероприятийВода,79055906622,,https://www.loft2rent.ru/loft/181731/181737
Коворкинг для мероприятийВоздух,Коворкинг для мероприятийВоздух,79055906622,,https://www.loft2rent.ru/loft/181731/181733
Коворкинг для мероприятийЗемля,Коворкинг для мероприятийЗемля,79055906622,,https://www.loft2rent.ru/loft/181731/189583
Коворкинг для мероприятийОгонь,Коворкинг для мероприятийОгонь,79055906622,,https://www.loft2rent.ru/loft/181731/189593
"Коворкинг-Центр ""Fабрика""Коворкинг-Центр","Коворкинг-Центр ""Fабрика""Коворкинг-Центр",79261331191,,https://www.loft2rent.ru/loft/109232/109234
Коворкинг-центр Люди Учат,Коворкинг-центр Люди Учат,79853408131,,https://www.loft2rent.ru/loft/199953/202140
Койот Бар ГадкийБар Гадкий Койот,Койот Бар ГадкийБар Гадкий Койот,79063269129,,https://www.loft2rent.ru/loft/184693/184696
Колизей холл,Колизей холл,74955183030,,https://www.loft2rent.ru/loft/207950/207952
Коммерсантъ,Коммерсантъ,74956463046,club@kommersant.ru,https://www.kommersant.ru
Компас зал 120 Quattro Space,Компас зал 120 Quattro Space,74994441908,,https://www.loft2rent.ru/loft/120842
Комфортный Loft Москва-сити,Комфортный Loft Москва-сити,79111023333,,https://www.loft2rent.ru/loft/107530
Комфортный лофт,Комфортный лофт,79584973975,,https://www.reveltime.ru/venue/6930239?eventtype=vecherinka
"Комфортный, стильный, просторный лофт «BRONZA»  в центре Москвы, 10 мин. от метро","Комфортный, стильный, просторный лофт «BRONZA»  в центре Москвы, 10 мин. от метро",79099060421,,https://www.loft2rent.ru/loft/41462
"Конгресс-КейтерингЛофт ""Серый""","Конгресс-КейтерингЛофт ""Серый""",79031609009,,https://www.loft2rent.ru/loft/197027/197029
Консерватория им. Чайковского,Консерватория им. Чайковского,,document@mosconsv.ru,https://www.mosconsv.ru
Контраст лофтКонтраст лофт  / Контраст лофт,Контраст лофтКонтраст лофт  / Контраст лофт,79533438200,,https://www.loft2rent.ru/loft/128824/128826
Конференц зал,Конференц зал,78124412942,,https://www.loft2rent.ru/loft/150682
Конференц-зал,Конференц-зал,79313784778,,https://www.loft2rent.ru/loft/99859
"Конференц-зал ""Борис Годунов""","Конференц-зал ""Борис Годунов""",74951112200,,https://www.loft2rent.ru/loft/166336/166340
Конференц-зал / банкетный зал,Конференц-зал / банкетный зал,74956003606,,https://www.loft2rent.ru/loft/36344
Конференц-Зал 190м2 Quattro Space,Конференц-Зал 190м2 Quattro Space,74994441908,,https://www.loft2rent.ru/loft/120842
Конференц-Зал 310 - Quattro Space,Конференц-Зал 310 - Quattro Space,74994441908,,https://www.loft2rent.ru/loft/120842
Конференц-зал во Дворце тенниса Лужники,Конференц-зал во Дворце тенниса Лужники,74959092663,,https://www.loft2rent.ru/loft/164090
Конференц-зал до 50 человек,Конференц-зал до 50 человек,79804300888,,https://www.loft2rent.ru/loft/199576
Конференц-зал до 70 человек,Конференц-зал до 70 человек,79804300888,,https://www.loft2rent.ru/loft/199576
Конференц-зал и Лофт Волга,Конференц-зал и Лофт Волга,79262082079,,https://www.loft2rent.ru/loft/41174/41176
Конференц-зал с балконом во Дворце тенниса Лужники,Конференц-зал с балконом во Дворце тенниса Лужники,74959092663,,https://www.loft2rent.ru/loft/164090
Конференц-зал УСЗ Дружба в Лужниках,Конференц-зал УСЗ Дружба в Лужниках,74959092663,,https://www.loft2rent.ru/loft/164090
Концептуальный лофт/бар на МаросейкеThe Last Bar,Концептуальный лофт/бар на МаросейкеThe Last Bar,79153422339,,https://www.loft2rent.ru/loft/166332/166334
Концертная площадка с панорамными окнами,Концертная площадка с панорамными окнами,79584974206,,https://www.reveltime.ru/venue/4104387?eventtype=vecherinka
Концертно-репетиционный лофт ТРИТОНТритон,Концертно-репетиционный лофт ТРИТОНТритон,79778333192,,https://www.loft2rent.ru/loft/171022/171024
Концертный зал Зарядье,Концертный зал Зарядье,74955310457,concert@zaryadyehall.ru,https://zaryadyehall.ru
"Концертный зал и кинозалКонцертный зал ""Фламенкерия""","Концертный зал и кинозалКонцертный зал ""Фламенкерия""",79258659784,,https://www.loft2rent.ru/loft/110026/110528
"Концертный зал со сценой, премиальным светом и звуком, LED-экраном на Бауманской","Концертный зал со сценой, премиальным светом и звуком, LED-экраном на Бауманской",79269540354,,https://www.loft2rent.ru/loft/172102
Концертный зал Чайковского,Концертный зал Чайковского,74952325353,info@meloman.ru,https://meloman.ru
Корабль Илона Маска,Корабль Илона Маска,78122007818,,https://www.loft2rent.ru/loft/75982
Коробок,Коробок,74992770007,,https://korobokmoscow.ru/
