Название компании,Название сделки,Телефон,Email,Сайт
Aerostar Hotel,Aerostar Hotel,73432268606,abakan@azimuthotels.com,https://azimuthotels.com/ru/moscow/azimut-hotel-aerostar
Affect,Affect,,hello@affect.ru,https://affect.ru
AFI Development,AFI Development,74952812777,eponomareva@afid.ru,https://afi-development.com
Afisha Daily,Afisha Daily,,a.baklykov@afisha.ru,https://daily.afisha.ru
Afisha Daily Events,Afisha Daily Events,,a.baklykov@afisha.ru,https://daily.afisha.ru
Afisha Media,Afisha Media,,adb@afisha.ru,https://www.afisha.ru
AG LOFTCHALET / ШАЛЕ,AG LOFTCHALET / ШАЛЕ,74950323635,,https://www.loft2rent.ru/loft/1926/44130
Agnostic Loft. Лофт с верандой,Agnostic Loft. Лофт с верандой,79263579391,,https://www.reveltime.ru/venue/2407981?eventtype=vecherinka
"AGNOSTIC Лофт ( 130 м.кв) с Тёплой Верандой(45 кв.м) , Грилем и лучшим звуком ( с середины июня будет выход на крышу 350 м.кв)","AGNOSTIC Лофт ( 130 м.кв) с Тёплой Верандой(45 кв.м) , Грилем и лучшим звуком ( с середины июня будет выход на крышу 350 м.кв)",79263579391,,https://www.loft2rent.ru/loft/13771
AirExpress Hotel,AirExpress Hotel,74997030120,939@putevka.com,https://www.putevka.com/hotels/russia/khimki/vozdushnyi_ekspress_terminal_e
Aitarget One,Aitarget One,19406251628,support@evido.me,https://aitarget.com
AJNA LOFT-BOUTIQUE,AJNA LOFT-BOUTIQUE,79817600001,,https://www.loft2rent.ru/loft/112573
Alfa Capital,Alfa Capital,74957973151,claim@alfacapital.ru,https://www.alfacapital.ru
Alibi LoftALIBI loft,Alibi LoftALIBI loft,79150528083,,https://www.loft2rent.ru/loft/39664/39667
Alle Hall уютное пространство для ваших мероприятий,Alle Hall уютное пространство для ваших мероприятий,74998881829,,https://www.loft2rent.ru/loft/121787
AllShapes Loft,AllShapes Loft,79154653461,,https://www.loft2rent.ru/loft/106044/127341
AllShapes LoftМосковский Императорский Яхт клуб,AllShapes LoftМосковский Императорский Яхт клуб,79154653461,,https://www.loft2rent.ru/loft/106044/113862
Aloha loft,Aloha loft,74950080403,,https://www.loft2rent.ru/loft/30985
American Chamber of Commerce Russia,American Chamber of Commerce Russia,,amcham@amcham.ru,https://amcham.ru
Anchovy's Club,Anchovy's Club,79368884555,folk@folkteam.ru,https://anchovys.club/?utm_source=greatlist.com&utm_medium=partner
Anchovy's Club,Anchovy's Club,79368884555,,https://anchovys.club/
ANDY HALL,ANDY HALL,74951201905,,https://www.loft2rent.ru/loft/5338
ANGELBLESS,ANGELBLESS,79620358888,,https://www.loft2rent.ru/loft/182805/182807
Angle 30 floor Apartments Москва Сити,Angle 30 floor Apartments Москва Сити,79958998202,,https://www.loft2rent.ru/loft/171815
Anvil Club,Anvil Club,74995515111,anvilfit@anvilclub.ru,https://anvilclub.ru
Apple Russia,Apple Russia,18006927753,,https://www.apple.com
Apriori Photo Коричневый лофт с верандой,Apriori Photo Коричневый лофт с верандой,74950034525,,https://www.reveltime.ru/venue/455631?eventtype=vecherinka
Aquamarine,Aquamarine,,,https://ostrovok.ru/hotel/russia/moscow/mid9291722/crowne_plaza_moscow_tretyakovskaya
Aquarel Hall,Aquarel Hall,78124674730,,https://www.loft2rent.ru/loft/74440
Ararat Park Hyatt,Ararat Park Hyatt,74957831234,moscow.park@araratph.ru,https://araratparkhotel.ru
Arbat House,Arbat House,74956970853,reservation@arbat-house.com,https://www.arbat-house.com
Arbat Secret Loft,Arbat Secret Loft,74991133775,,https://www.loft2rent.ru/loft/132813/132815
Arch  loft,Arch  loft,79277772200,,https://www.loft2rent.ru/loft/119864/119893
ARCHILOFT,ARCHILOFT,74951855699,,https://www.loft2rent.ru/loft/21863/21864
ARCHILOFT(АРХИЛОФТ). Два смежных пространства Acryl Space (Акрил Спэйс) и Steel Space (Стил Спэйс),ARCHILOFT(АРХИЛОФТ). Два смежных пространства Acryl Space (Акрил Спэйс) и Steel Space (Стил Спэйс),79676932714,,https://www.reveltime.ru/venue/2989016?eventtype=vecherinka
ARCOBALENO LOFT / АРКОБАЛЕНО ЛОФТ,ARCOBALENO LOFT / АРКОБАЛЕНО ЛОФТ,79530505020,,https://www.loft2rent.ru/loft/107118/123108
Areal Congress Hotel,Areal Congress Hotel,74956602424,bron@areal-hotel.ru,https://www.areal-hotel.ru
Arendalofta_nnMisterio (Мистерио),Arendalofta_nnMisterio (Мистерио),79290551805,,https://www.loft2rent.ru/loft/76195/178884
"Arendalofta_nnЛофт ""Стеклянный Дом""","Arendalofta_nnЛофт ""Стеклянный Дом""",79290551805,,https://www.loft2rent.ru/loft/76195/161570
Arendalofta_nnПогружение Loft,Arendalofta_nnПогружение Loft,79290551805,,https://www.loft2rent.ru/loft/76195/76220
Arma17 legacy team,Arma17 legacy team,,,https://arma17.ru
ARMALOFT,ARMALOFT,79250545290,,https://www.loft2rent.ru/loft/122172
Aroundbrand,Aroundbrand,74952223747,info@aroundbrand.ru,https://aroundbrand.ru
Art Loft,Art Loft,79854469081,,https://www.loft2rent.ru/loft/89066/89068
Art Moscow,Art Moscow,74953694700,managers@expopark.ru,https://art-moscow.ru
ART Moscow Voyage Hotel,ART Moscow Voyage Hotel,74953577757,conf@artmoscowhotel.ru,https://artmoscowhotel.ru
Art Union Двухуровневый арт-лофт,Art Union Двухуровневый арт-лофт,79959013745,,https://www.reveltime.ru/venue/4370594?eventtype=vecherinka
Art9.2Blue sky,Art9.2Blue sky,79911772529,,https://www.loft2rent.ru/loft/132452/132931
Art9.2Color,Art9.2Color,79911772529,,https://www.loft2rent.ru/loft/132452/132562
Art9.2scene,Art9.2scene,79911772529,,https://www.loft2rent.ru/loft/132452/132924
Art9.2Soul,Art9.2Soul,79911772529,,https://www.loft2rent.ru/loft/132452/132932
Art9.2Twin,Art9.2Twin,79911772529,,https://www.loft2rent.ru/loft/132452/132920
Art9.2Зал 2 Classic 75m,Art9.2Зал 2 Classic 75m,79911772529,,https://www.loft2rent.ru/loft/132452/133739
Art9.2Зал 3  Neoni,Art9.2Зал 3  Neoni,79911772529,,https://www.loft2rent.ru/loft/132452/133745
Art9.2Зал 4 Black 75м,Art9.2Зал 4 Black 75м,79911772529,,https://www.loft2rent.ru/loft/132452/133750
Art9.2Зал 5 Loft 80м,Art9.2Зал 5 Loft 80м,79911772529,,https://www.loft2rent.ru/loft/132452/133766
Arthurs Village & SPA,Arthurs Village & SPA,74951504121,hb922-fo1@accor.ru,https://arthurs-hotels.ru
"Articon MegapolisЛофт ""Мегаполис Холл""","Articon MegapolisЛофт ""Мегаполис Холл""",79685819272,,https://www.loft2rent.ru/loft/105749/105758
"Articon MegapolisУчебный класс ""Артикон""","Articon MegapolisУчебный класс ""Артикон""",79685819272,,https://www.loft2rent.ru/loft/105749/137170
ArtLoft Брусницын,ArtLoft Брусницын,79936406842,,https://www.loft2rent.ru/loft/84117
ARTLOFT на Красного Текстильщика,ARTLOFT на Красного Текстильщика,79936406842,,https://www.loft2rent.ru/loft/84117
ArtLoft Севкабель,ArtLoft Севкабель,79936406842,,https://www.loft2rent.ru/loft/84117
ArtMaisonГалерея,ArtMaisonГалерея,79774740833,,https://www.loft2rent.ru/loft/10542/38811
Artmona LoftArtMona Conference and Study Hall,Artmona LoftArtMona Conference and Study Hall,79777174500,,https://www.loft2rent.ru/loft/79154/92515
Artmona LoftArtmona Loft CASTLE,Artmona LoftArtmona Loft CASTLE,79777174500,,https://www.loft2rent.ru/loft/79154/79159
Artmona LoftArtmona Oriental,Artmona LoftArtmona Oriental,79777174500,,https://www.loft2rent.ru/loft/79154/88954
Artmona LoftArtmona Studio,Artmona LoftArtmona Studio,79777174500,,https://www.loft2rent.ru/loft/79154/88945
Artplay,Artplay,74956200882,arenda@artplay.ru,https://artplay.ru
Artplay Design Center,Artplay Design Center,74956200882,arenda@artplay.ru,https://artplay.ru
"ARTАрт-пространство ""ART""","ARTАрт-пространство ""ART""",79869465206,,https://www.loft2rent.ru/loft/172192/172195
Arus party LoftArus Kino Loft / Арус Кино Лофт,Arus party LoftArus Kino Loft / Арус Кино Лофт,79191042113,,https://www.loft2rent.ru/loft/22657/115188
ASnova Hall,ASnova Hall,79636448104,,https://www.loft2rent.ru/loft/209971/210016
Astik Loft,Astik Loft,79776409250,,https://www.loft2rent.ru/loft/196388/196390
ATELIE,ATELIE,74950323635,,https://www.loft2rent.ru/loft/1926
ATLAtlantic,ATLAtlantic,79939187561,,https://www.loft2rent.ru/loft/95559/143599
"ATMOS - Лофт с караоке, верандой и грилем","ATMOS - Лофт с караоке, верандой и грилем",79511915838,,https://www.loft2rent.ru/loft/5546
Atmos Loft (Атмос Лофт). Стильная площадка с яркими акцентами,Atmos Loft (Атмос Лофт). Стильная площадка с яркими акцентами,79584610759,,https://www.reveltime.ru/venue/4922038?eventtype=vecherinka
Atmosferno_studioЗал Minimal,Atmosferno_studioЗал Minimal,79771211238,,https://www.loft2rent.ru/loft/99628/119378
auratower апартаменты москва сити 33 floor oko tower,auratower апартаменты москва сити 33 floor oko tower,79021444676,,https://skyrent24.ru
auratower апартаменты москва сити Premium sky apartments,auratower апартаменты москва сити Premium sky apartments,79021444676,,https://www.loft2rent.ru/loft/19512
auratower апартаменты москва сити Апартаменты Москва Сити 42 этаж Sky Apex,auratower апартаменты москва сити Апартаменты Москва Сити 42 этаж Sky Apex,79021444676,,https://www.loft2rent.ru/loft/19512
auratower Апартаменты Москва Сити с панорамной ванной 47 этаж,auratower Апартаменты Москва Сити с панорамной ванной 47 этаж,79021444676,,https://www.loft2rent.ru/loft/19512
auratowerru Mars apartment Moscow City,auratowerru Mars apartment Moscow City,79021444676,,https://skyrent24.ru
Auto Radio (EMG),Auto Radio (EMG),,copyright@gpmradio.ru,https://avtoradio.ru
Av lounge fmLounge fm,Av lounge fmLounge fm,79175744700,,https://www.loft2rent.ru/loft/192825/192827
AVELA Media,AVELA Media,74957809900,,https://avela.ru
"AVIATOR — Неоновый лофт с зоной барбекю, 5 минут от Бауманской","AVIATOR — Неоновый лофт с зоной барбекю, 5 минут от Бауманской",79585782362,,https://twitter.com/AviatorLoft
AZIMUT Hotel Olympic Moscow,AZIMUT Hotel Olympic Moscow,,iwaf@icewood.net,https://azimuthotels.com/ru/moscow/azimut-hotel-olympic
AZIMUT Hotel Smolenskaya,AZIMUT Hotel Smolenskaya,,iwaf@icewood.net,https://azimuthotels.com/ru/moscow/azimut-hotel-smolenskaya
AZIMUT Hotel Tulskaya,AZIMUT Hotel Tulskaya,,iwaf@icewood.net,https://azimuthotels.com/ru/moscow/azimut-hotel-tulskaya
Azimut Hotels,Azimut Hotels,,iwaf@icewood.net,https://azimuthotels.com/ru
AZIMUT Отель Аэростар Москва,AZIMUT Отель Аэростар Москва,,,https://ostrovok.ru/hotel/russia/moscow/mid7598118/aerostar_hotel
AZIMUT Сити Отель Комсити,AZIMUT Сити Отель Комсити,,iwaf@icewood.net,https://azimuthotels.com/ru/moscow/azimut-hotel-comcity
AZIMUT Сити Отель Комсити Москва,AZIMUT Сити Отель Комсити Москва,,,https://ostrovok.ru/hotel/russia/moscow/mid10292782/hotel_azimut_siti_hotel_komsiti_moskva
AZIMUT Сити Отель Олимпик Москва,AZIMUT Сити Отель Олимпик Москва,,,https://ostrovok.ru/hotel/russia/moscow/mid7597419/azimut_moscow_olympic_hotel
AZIMUT Сити Отель Смоленская Москва,AZIMUT Сити Отель Смоленская Москва,,,https://ostrovok.ru/hotel/russia/moscow/mid8744391/azimut_hotel_smolenskaya_moscow
AZIMUT Сити Отель Тульская Москва,AZIMUT Сити Отель Тульская Москва,,,https://ostrovok.ru/hotel/russia/moscow/mid7768573/azimut_moscow_tulskaya_hotel
Azur Loft / Азур Лофт,Azur Loft / Азур Лофт,79939587396,,https://www.loft2rent.ru/loft/182119
AРМА КОВОРКИНГБольшая переговорная в ARMA COWORKING,AРМА КОВОРКИНГБольшая переговорная в ARMA COWORKING,74957554224,,https://www.loft2rent.ru/loft/191350/191352
BackgroundЗАЛ КОНФЕРЕНЦ,BackgroundЗАЛ КОНФЕРЕНЦ,74994554504,,https://www.loft2rent.ru/loft/42217/42376
BackgroundЗал Кухня,BackgroundЗал Кухня,74994554504,,https://www.loft2rent.ru/loft/42217/205466
BackgroundЧерный съемочный павильон,BackgroundЧерный съемочный павильон,74994554504,,https://www.loft2rent.ru/loft/42217/205473
BackstageBackstage  / Бэкстейдж,BackstageBackstage  / Бэкстейдж,79253980686,,https://www.loft2rent.ru/loft/210956/210961
BACKYARD,BACKYARD,74951201905,,https://www.loft2rent.ru/loft/5338
Bad Girl (пилон-loft) на Бауманской с караоке и PS 4 !,Bad Girl (пилон-loft) на Бауманской с караоке и PS 4 !,74993025372,,https://www.loft2rent.ru/loft/66644
Bagebi,Bagebi,79037991934,,http://bagebi.ru/
Baklazhan,Baklazhan,78126401616,media@ginzaproject.com,https://ginza.ru/baklazhan
Balandin Bar,Balandin Bar,79856409376,,https://www.loft2rent.ru/loft/104955/104960
Ballesta SpaceЗал «Красный шатёр» в Ballesta Space,Ballesta SpaceЗал «Красный шатёр» в Ballesta Space,79262488448,,https://www.loft2rent.ru/loft/186577/186647
Baltschug Annex,Baltschug Annex,,,https://www.alean.ru/hotels/rossiya/moskva/baltschug_kempinski_moscow_otel
Baltschug Grill,Baltschug Grill,,contact@discoveryloyalty.com,https://kempinski.com
Baltschug Kempinski,Baltschug Kempinski,74952872000,concierge.baltschug@kempinski.com,https://baltschughotel.ru
BANKSY HALL,BANKSY HALL,74951201905,,https://www.loft2rent.ru/loft/5338
Bar Fly,Bar Fly,79164400130,,https://www.loft2rent.ru/loft/101001
BARCELONA INKBARCELONA,BARCELONA INKBARCELONA,79999875886,,https://www.loft2rent.ru/loft/199928/199932
Barin Residence Centre,Barin Residence Centre,74954927971,77barinresidence@gmail.com,https://www.barinresidence.com
Barkas - двухуровневый лофт с верандой,Barkas - двухуровневый лофт с верандой,79779161315,,https://www.loft2rent.ru/loft/81832
Barri,Barri,79775693959,,https://www.loft2rent.ru/loft/198721
Barvikha Hotel & Spa,Barvikha Hotel & Spa,74952258384,bh_spa_reception@barvikhahotel.com,https://www.barvikhahotel.com
Barvikha Luxury Village,Barvikha Luxury Village,74959333399,arodina@mercury.ru,https://barvikhaconcerthall.ru
BAUHAUS,BAUHAUS,79219254594,,https://www.loft2rent.ru/loft/79646
Bauman Space (Бауман Спейс).  Лофт Санрайз,Bauman Space (Бауман Спейс).  Лофт Санрайз,79585782362,,https://www.reveltime.ru/venue/7736441?eventtype=vecherinka
Bauman Space (Бауман Спейс). Лофт Blackberry (Блэкберри),Bauman Space (Бауман Спейс). Лофт Blackberry (Блэкберри),79585782362,,https://www.reveltime.ru/venue/989651?eventtype=vecherinka
Bauman Space (Бауман Спейс). Лофт Авиатор,Bauman Space (Бауман Спейс). Лофт Авиатор,79585782362,,https://www.reveltime.ru/venue/726900?eventtype=vecherinka
Bauman Space (Бауман Спейс). Лофт Альфа,Bauman Space (Бауман Спейс). Лофт Альфа,79585782362,,https://www.reveltime.ru/venue/3234608?eventtype=vecherinka
Bauman Space (Бауман Спейс). Лофт Бета,Bauman Space (Бауман Спейс). Лофт Бета,79585782362,,https://www.reveltime.ru/venue/7082759?eventtype=vecherinka
Bauman Space (Бауман Спейс). Лофт Брутал,Bauman Space (Бауман Спейс). Лофт Брутал,79585782362,,https://www.reveltime.ru/venue/4464543?eventtype=vecherinka
Bauman Space (Бауман Спейс). Лофт Металлик,Bauman Space (Бауман Спейс). Лофт Металлик,79585782362,,https://www.reveltime.ru/venue/4464623?eventtype=vecherinka
Bauman Space (Бауман Спейс). Лофт Облака,Bauman Space (Бауман Спейс). Лофт Облака,79585782362,,https://www.reveltime.ru/venue/4704050?eventtype=vecherinka
Bauman Space (Бауман Спейс). Лофт Олимп,Bauman Space (Бауман Спейс). Лофт Олимп,79585782362,,https://www.reveltime.ru/venue/3234612?eventtype=vecherinka
Bauman Space (Бауман Спейс). Лофт Роквуд,Bauman Space (Бауман Спейс). Лофт Роквуд,79585782362,,https://www.reveltime.ru/venue/4464612?eventtype=vecherinka
Bauman Space (Бауман Спейс). Лофт Сапфир,Bauman Space (Бауман Спейс). Лофт Сапфир,79585782362,,https://www.reveltime.ru/venue/4703967?eventtype=vecherinka
Bauman Space (Бауман Спейс). Лофт Ураниум,Bauman Space (Бауман Спейс). Лофт Ураниум,79585782362,,https://www.reveltime.ru/venue/4464634?eventtype=vecherinka
Bauman Space (Бауман Спейс). Лофт Феникс,Bauman Space (Бауман Спейс). Лофт Феникс,79585782362,,https://www.reveltime.ru/venue/3234611?eventtype=vecherinka
Bauman Space (Бауман Спейс). Лофт Флау,Bauman Space (Бауман Спейс). Лофт Флау,79585782362,,https://www.reveltime.ru/venue/7948815?eventtype=vecherinka
Bauman Space (Бауман Спейс). Лофт Флаффи,Bauman Space (Бауман Спейс). Лофт Флаффи,79585782362,,https://www.reveltime.ru/venue/4464587?eventtype=vecherinka
Bauman Space. Лофт Хайдаут,Bauman Space. Лофт Хайдаут,79585782362,,https://www.reveltime.ru/venue/7819995?eventtype=vecherinka
"BAUMAN SPACEALFA — лофт со сценой и большими панорамными окнами, 2 минуты от метро / Альфа","BAUMAN SPACEALFA — лофт со сценой и большими панорамными окнами, 2 минуты от метро / Альфа",79585782362,,https://www.loft2rent.ru/loft/14642/126987
BAUMAN SPACEARBAT - лофт на Арбате в 3 минутах от метро / Арбат,BAUMAN SPACEARBAT - лофт на Арбате в 3 минутах от метро / Арбат,79585782362,,https://www.loft2rent.ru/loft/64193/64195
"BAUMAN SPACEBETA - Двухуровневый Лофт с панормаными окнами, 2 мин. от метро / Бета","BAUMAN SPACEBETA - Двухуровневый Лофт с панормаными окнами, 2 мин. от метро / Бета",79585782362,,https://www.loft2rent.ru/loft/14642/41101
"BAUMAN SPACEEUPHORIA — Стильный лофт на Таганской, 3 мин. от метро  / Эйфория","BAUMAN SPACEEUPHORIA — Стильный лофт на Таганской, 3 мин. от метро  / Эйфория",79585782362,,https://www.loft2rent.ru/loft/41462/41471
BAUMAN SPACEHideOUT — просторный лофт с личной верандой и грилем / Хайдаут,BAUMAN SPACEHideOUT — просторный лофт с личной верандой и грилем / Хайдаут,79585782362,,https://www.loft2rent.ru/loft/89228/89237
"BAUMAN SPACEPHOENIX — Стильный лофт на Арбате, 3 минуты от метро  / Феникс","BAUMAN SPACEPHOENIX — Стильный лофт на Арбате, 3 минуты от метро  / Феникс",79585782362,,https://www.loft2rent.ru/loft/95559/74332
"BAUMAN SPACERockWood - кирпичный лофт, веранда, гриль, в ЦАО, 5 минут от метро  / Роквуд","BAUMAN SPACERockWood - кирпичный лофт, веранда, гриль, в ЦАО, 5 минут от метро  / Роквуд",79585782362,,https://twitter.com/AviatorLoft
Bazaar foodhall&market,Bazaar foodhall&market,74951015757,,https://www.loft2rent.ru/loft/182619/182621
BAZE LOFTLOFT BAZE,BAZE LOFTLOFT BAZE,79777112828,,https://www.loft2rent.ru/loft/168356/168359
BB LoftsLoftLounge - стильный лофт с караоке и PS5 в 5 минутах от метро,BB LoftsLoftLounge - стильный лофт с караоке и PS5 в 5 минутах от метро,79301703019,,https://www.loft2rent.ru/loft/58868/206927
Beat Film Festival,Beat Film Festival,,chugrinova@beatfilms.ru,https://beatfilmfestival.ru
Beeline (Veon),Beeline (Veon),,otvet@beeline.ru,https://beeline.ru
BenbouBenbou cafe,BenbouBenbou cafe,79687337114,,https://www.loft2rent.ru/loft/88942/88963
BergaMot,BergaMot,74993703816,,https://www.loft2rent.ru/loft/29857
Berlin - лофт с караоке и верандой в центре,Berlin - лофт с караоке и верандой в центре,79301703019,,https://www.loft2rent.ru/loft/58868
BETON - стилизованный лофт с караоке в 7 минутах от метро,BETON - стилизованный лофт с караоке в 7 минутах от метро,79585782362,,https://www.loft2rent.ru/loft/loftaviator
BIBLIOTEKA,BIBLIOTEKA,74950323635,,https://www.loft2rent.ru/loft/1926
Big Jack,Big Jack,79857600801,sales@bigjack24.ru,https://bigjack24.ru
