id;status;display_name;legal_name;description;director_title;director_name;legal_address;registration_date;charter_capital;inn;ogrn;revenue;revenue_growth;category;category_parent;rbc_profile_url;source_url;source_page
11;Действует;ООО «АКАДЕМИЯ»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «АКАДЕМИЯ»;;Генеральный Директор;Титов Николай Александрович;г. Москва, вн.тер.г. Поселение Московский, км 22-Й, д. 4, стр. 2, помещ. 1;15.01.2020;55 000,0 ₽;7730255558;1207700005810;64 427 000,0 ₽;27,69%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7730255558;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
12;Действует;ООО «АМГ МЕНЕДЖМЕНТ»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «АМГ МЕНЕДЖМЕНТ»;;Генеральный Директор;Савелюк Антон Игоревич;г. Санкт-Петербург, вн.тер. г. Муниципальный округ Звездное, пр-кт Дунайский, д. 7, к. 7, кв. 151;25.10.2019;100 000,0 ₽;7814767577;1197847213497;14 637 000,0 ₽;-76,91%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7814767577;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
13;Действует;ООО «МАСТЕРПИС ПРОДАКШН»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «МАСТЕРПИС ПРОДАКШН»;;Директор;Кунгурова Екатерина Андреевна;край Алтайский, г. Барнаул, пр-д 9 Мая, д. 9, кв. 57;07.03.2014;10 000,0 ₽;2224165436;1142224001226;8 841 000,0 ₽;36,25%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=2224165436;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
14;Есть решение ФНС о ликвидации;ООО «ПРОЕКТ ИГРА»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ПРОЕКТ ИГРА»;;Генеральный Директор;Королевский Аркадий Сергеевич;г. Санкт-Петербург, вн.тер. г. Муниципальный округ Владимирский округ, пр-кт Владимирский, д. 19, лит А, помещ. 80;03.12.2019;10 000,0 ₽;7840090669;1197847238027;5 569 000,0 ₽;189,90%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7840090669;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
15;Действует;ООО «ГАСТРОНОМИК ПЛЕЙС»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ГАСТРОНОМИК ПЛЕЙС»;;Директор;Стришка-Федотова Илона Юрьевна;обл. Московская, г. Балашиха, ул. Пионерская, д. 1, кв. 87;21.12.2020;12 000,0 ₽;5012103881;1205000116650;0,0 ₽;—;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=5012103881;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
16;Действует;ООО «ОРГАНИЗАТОР»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ОРГАНИЗАТОР»;"Мы — компания по организации и техническому обеспечению спортивных и праздничных мероприятий ""под ключ"".";Директор;Горшкова Оксана Владимировна;обл. Свердловская, г. Екатеринбург, ул. Ткачей, д. 23, офис 618;20.02.2017;1 010 000,0 ₽;6685127535;1176658016996;178 944 000,0 ₽;66,48%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=6685127535;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
17;Действует;ООО «ТРИУМФ АРТ»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ТРИУМФ АРТ»;ПРОДЮСЕРСКИЙ ЦЕНТР «ТРИУМФ» — ведущий в России постановщик и популяризатор семейных и детских мюзиклов.;Генеральный Директор;Пеганов Алексей Павлович;г. Москва, вн.тер.г. Муниципальный округ Даниловский, ул. Ленинская Слобода, д. 19, помещ. 62/1;11.07.2017;20 000,0 ₽;9705102865;1177746688272;96 597 000,0 ₽;-21,04%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=9705102865;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
18;Действует;ООО ПРОДЮСЕРСКИЙ ЦЕНТР «АЛЕКСАНДР ГРИГОРАШ»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОДЮСЕРСКИЙ ЦЕНТР «АЛЕКСАНДР ГРИГОРАШ»;Мы - сплоченная команда профессионалов, обладающая большим опытом более 10 лет на рынке организации концертных, корпоративных и частных мероприятий.;Генеральный Директор;Григораш Александр Михайлович;г. Москва, вн.тер.г. Муниципальный округ Бутырский, ул. Складочная, д. 1, стр. 15, офис 609;02.10.2013;20 000,0 ₽;7730694040;1137746903656;72 159 000,0 ₽;61,90%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7730694040;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
19;Действует;ООО «МАКС ТЕРЕШКИН»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «МАКС ТЕРЕШКИН»;;Генеральный Директор;Терешкин Максим Алексеевич;обл. Московская, г.о. Пушкинский, г. Пушкино, ул. Островского, д. 20а, кв. 37;17.05.2021;10 000,0 ₽;5038158638;1215000050165;1 350 000,0 ₽;—;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=5038158638;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
20;Действует;ООО «АЭРП»;Общество с ограниченной ответственностью «Агентство экономического развития и предпринимательства»;;Генеральный Директор;Елагин Александр Николаевич;г. Москва, вн.тер.г. Муниципальный округ Измайлово, ул. Верхняя Первомайская, д. 49, к. 1, этаж 4 пом. 1, ком. 1;25.02.2013;10 000,0 ₽;7702809532;1137746159781;182 244 000,0 ₽;593,13%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7702809532;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
21;Действует;ООО «РИКИС»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «РИКИС»;;Генеральный Директор;Семинова Кристина Викторовна;край Краснодарский, м.р-н Белореченский, г. Белореченск, ул. Интернациональная, д. 30, помещ. 15/1;31.05.2018;50 000,0 ₽;2368010296;1182375044697;134 397 000,0 ₽;65,90%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=2368010296;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
22;Действует;ООО «ЗОЛОТОЙ СЦЕНАРИЙ»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЗОЛОТОЙ СЦЕНАРИЙ»;;Генеральный Директор;Рябов Александр Юрьевич;обл. Орловская, г. Орёл, ул. Салтыкова-Щедрина, д. 34, помещ. 12, ком. 334;15.11.2018;10 000,0 ₽;5752080080;1185749008280;68 199 000,0 ₽;-31,37%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=5752080080;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
23;Действует;ООО «ПАЛАНТИР»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ПАЛАНТИР»;;Генеральный Директор;Шиханов Дмитрий Николаевич;г. Санкт-Петербург, вн.тер.г. муниципальный округ Дачное, пр-кт Ленинский, д. 114, литера А, кв. 877;12.05.2017;20 000,0 ₽;7805705454;1177847168421;1 282 000,0 ₽;3,97%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7805705454;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
24;Действует;АФБИ;АССОЦИАЦИЯ ПРЕДСТАВИТЕЛЕЙ ИНДУСТРИИ МОДЫ, СТИЛЯ И КРАСОТЫ «АФБИ»;Ассоциация «АФБИ» — создание качественных инфоповодов и проведение мероприятий, направленных на развитие и поддержку российских производителей.;Президент;Давыдова Ирина Александровна;г. Москва, вн.тер.г. Муниципальный округ Братеево, ул. Борисовские Пруды, д. 16, к. 1, кв. 163;07.08.2023;—;9724141130;1237700522927;0,0 ₽;—;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=9724141130;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
25;Действует;ООО «НЕВА ШОУ»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «НЕВА ШОУ»;;Генеральный Директор;Малинин Вадим Викторович;г. Санкт-Петербург, вн.тер.г. муниципальный округ № 65, ул. Туристская, д. 20, к. 2, кв. 325;28.06.2018;10 000,0 ₽;7814733433;1187847185756;0,0 ₽;—;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7814733433;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
26;Действует;ООО «ВИЛСОН»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ВИЛСОН ИНКОРПОРЕЙТЕД»;;Генеральный Директор;Вилсон Галина Григорьевна;г. Москва, вн.тер.г. Муниципальный округ Марьино, ул. Новомарьинская, д. 18, кв. 111;06.09.2021;11 000,0 ₽;9723123508;1217700416889;0,0 ₽;—;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=9723123508;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
27;Действует;ООО «БАЙКАЛОВ»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «БАЙКАЛОВ»;;Директор;Казакевич Анатолий Александрович;обл. Иркутская, г. Иркутск, ул. Улан-Баторская, д. 2, помещ. 8;30.05.2014;11 000,0 ₽;3811179883;1143850021941;0,0 ₽;—;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=3811179883;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
28;Действует;ООО «ВИЗОЭКСПО»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ВИЗОЭКСПО»;Компания ООО «ВИЗОЭКСПО» организует участие в международных Российско-Иранских выставках.;Генеральный Директор;Наджаран Али;г. Москва, вн.тер.г. муниципальный округ Басманный, пер. Кривоколенный, д. 5, стр. 4, помещ. 19;12.05.2016;10 000,0 ₽;9701040061;1167746461706;0,0 ₽;—;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=9701040061;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
29;Есть решение ФНС о ликвидации;ООО «ВЕРСАЛЬ»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ВЕРСАЛЬ»;Посетители на час погружаются в эталонную темноту и изучают экспозицию с помощью обоняния, осязания, звуков и вкусов в сопровождении незрячего гида.;Генеральный Директор;Радюк Элизабет Эдуардовна;г. Москва, вн.тер. г. Муниципальный округ Даниловский, ул. Автозаводская, д. 18, помещ. с-034, помещ. с-034;11.12.2014;71 000,0 ₽;7729791427;1147748021233;0,0 ₽;—;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7729791427;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
30;Действует;Агентство мероприятий ART EVENT;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «АРТ ИВЕНТ»;ART EVENT — 20 лет делаем события, которые работают на вас: точный сценарий, сильная команда, безупречное исполнение.;Генеральный Директор;Погосян Ашот Эдуардович;г. Москва, вн.тер.г. Муниципальный округ Нижегородский, ул. Нижегородская, д. 86, к. А, кв. 104;13.03.2014;12 000,0 ₽;7707828560;1147746270210;119 216 000,0 ₽;62,46%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7707828560;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
31;Действует;ООО «КЛАУСТРОФОБИЯ-В»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «КЛАУСТРОФОБИЯ-В»;;Генеральный Директор;Роспускова Диана Дмитриевна;г. Москва, вн.тер. г. Муниципальный округ Северный, ш. Долгопрудненское, д. 3, этаж 3 помещ. IX, ком. 43;15.03.2021;10 000,0 ₽;9715398467;1217700113927;142 222 000,0 ₽;4,87%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=9715398467;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
32;Действует;ООО «АРКЕЙН ГРУПП»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «АРКЕЙН ГРУПП»;;Генеральный Директор;Бойко Кирилл Владимирович;г. Москва, вн.тер.г. муниципальный округ Тимирязевский, ш. Дмитровское, д. 29, к. 1, Э 1 пом I ком 59;05.07.2018;15 000,0 ₽;7713460170;1187746640509;41 214 000,0 ₽;77,12%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7713460170;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
33;Действует;ООО «Тин Медиа Тим»;Общество с ограниченной ответственностью «Тин Медиа Тим»;;Генеральный Директор;Попов Владимир Олегович;г. Москва, вн.тер.г. Муниципальный округ Таганский, ул. Нижегородская, д. 32, стр. 16, этаж/офис 7/715;14.10.2004;10 000,0 ₽;7726511463;1047796774035;431 000,0 ₽;683,64%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7726511463;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
34;Ликвидирована;ООО «ЮНИОН БУКИНГ»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЮНИОН БУКИНГ»;;Генеральный Директор;Платонов Николай Геннадьевич;обл. Брянская, г. Клинцы, ул. Ворошилова, д. 32, кв. 43, ком. 43;20.09.2019;10 000,0 ₽;3241017084;1193256006899;0,0 ₽;—;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=3241017084;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
35;Действует;ООО «ЧЕРНИКА»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЧЕРНИКА»;;Директор;Кузнецов Анатолий Сергеевич;обл. Архангельская, г. Архангельск, ул. Розы Люксембург, д. 72, к. 1, кв. 9;08.11.2021;10 000,0 ₽;2901307714;1212900007011;9 733 948 000,0 ₽;290032,58%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=2901307714;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
36;Действует;ООО «СТАВСТАЛЬ»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «СТАВСТАЛЬ»;;Генеральный Директор;Павленко Родион Святославич;край Ставропольский, г. Невинномысск, ул. Низяева, д. 1р, этаж 3, ком. 35;06.03.2019;10 000,0 ₽;2631039613;1192651004567;9 227 535 000,0 ₽;-33,49%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=2631039613;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
37;Действует;АО «СОЧИ-ПАРК»;АКЦИОНЕРНОЕ ОБЩЕСТВО «СОЧИ-ПАРК»;;Генеральный Директор;Григоренко Геннадий Владимирович;край Краснодарский, пгт. Сириус, ул. Чемпионов, д. 3, офис 230;10.11.2006;12 073 044 600,0 ₽;2310119472;1062310038944;7 095 949 000,0 ₽;16,94%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=2310119472;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
38;Действует;АО «РЕГИОНЫ-ЭНТЕРТЕЙНМЕНТ»;АКЦИОНЕРНОЕ ОБЩЕСТВО «РЕГИОНЫ-ЭНТЕРТЕЙНМЕНТ»;;Генеральный Директор;Кондратьев Михаил Юрьевич;г. Москва, вн.тер. г. Муниципальный округ Нагатинский Затон, пр-кт Андропова, д. 1, этаж 4, помещ. 31;19.02.2013;1 000 000,0 ₽;7708782870;1137746139640;6 720 308 000,0 ₽;15,99%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7708782870;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
39;Действует;ООО «АГЕНТСТВО СТРУКТУРА»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «АГЕНТСТВО СТРУКТУРА»;;Генеральный Директор;Калитин Михаил Владимирович;г. Москва, вн.тер.г. Муниципальный округ Академический, ул. Шверника, д. 18, к. 1, помещ. 3п;26.08.2016;30 000,0 ₽;7702405392;1167746805786;3 932 420 000,0 ₽;324,73%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7702405392;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
40;Действует;ООО «Тирвас»;Общество с ограниченной ответственностью «Тирвас»;;Генеральный Директор;Симаков Герман Александрович;обл. Мурманская, г. Кировск, ул. Ботанический Сад, д. 29;18.05.2012;3 143 187 971,0 ₽;5103300037;1125118000336;2 924 922 000,0 ₽;27,37%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=5103300037;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
41;Действует;ЧУК «ПКиО «Северная Венеция»;Частное учреждение культуры «Парк культуры и отдыха «Северная Венеция»;;Директор;Сидоренко Анастасия Михайловна;г. Санкт-Петербург, вн.тер. г. муниципальный округ Чкаловское, пр-кт Крестовский, д. 21;12.02.2001;—;7813143287;1037828032131;2 052 415 000,0 ₽;16,50%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7813143287;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
42;Действует;ООО «Флагман»;Общество с ограниченной ответственностью «Флагман»;;Директор;Кузнецов Дмитрий Владимирович;край Хабаровский, рп. Солнечный, 4230 М К Западу От здания ПУ-34, ГЛК Холдоми;18.03.2004;10 000,0 ₽;2703025700;1042700022562;1 924 715 000,0 ₽;1,49%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=2703025700;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
43;Действует;ООО «ТК»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ТЕРМАЛЬНЫЙ КУРОРТ»;;Генеральный Директор;Васильева Ирина Рашитовна;обл. Тюменская, г. Тюмень, ул. Щербакова, д. 87;08.11.2017;100 000,0 ₽;7203434214;1177232032394;1 922 062 000,0 ₽;15,50%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7203434214;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
44;Действует;АО «Е.Т.С.»;АКЦИОНЕРНОЕ ОБЩЕСТВО «ЕВРОПЕЙСКИЕ ТЕХНОЛОГИИ И СЕРВИС»;;Директор;Бердочкин Арман Витальевич;г. Москва, вн.тер. г. муниципальный округ Ясенево, ул. Голубинская, д. 16;20.09.1994;570 006 150,0 ₽;7711065368;1027739444754;1 888 072 000,0 ₽;18,73%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7711065368;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
45;Действует;ООО «Биг Скрин Шоу»;Общество с ограниченной ответственностью «Биг Скрин Шоу»;;Генеральный Директор;Пономарев Виктор Базырович;г. Москва, вн.тер.г. Муниципальный округ Нижегородский, пр-д Перовский, д. 4, стр. 4;10.06.2010;20 000,0 ₽;7722719936;1107746477134;1 779 157 000,0 ₽;31,35%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7722719936;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
46;Действует;ООО «ПАРК СКАЗКА»;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ПАРК СКАЗКА»;;Генеральный Директор;Кунов Андрей Владимирович;г. Москва, вн.тер.г. Муниципальный округ Можайский, ул. Кутузова, д. 11, к. 3, помещ. 2ц;07.12.2016;10 000,0 ₽;7743185160;5167746421519;1 680 748 000,0 ₽;33,55%;Развлекательная деятельность;Спорт, отдых и развлечения;https://companies.rbc.ru/search/?query=7743185160;https://companies.rbc.ru/category/751-razvlekatelnaya_deyatelnost/;1
